date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Tulane,Away,L,85-72,190,NR,Q3
Nov 7,South Carolina State,Home,W,82-72,358,NR,Q4
Nov 12,Texas Southern,Away,W,93-90,319,NR,Q4
Nov 14,Arkansas,Away,L,79-75,18,NR,Q1
Nov 16,Central Arkansas,Away,W,84-77,181,NR,Q3
Nov 19,Florida Gulf Coast,Home,L,77-62,257,NR,Q4
Nov 21,New Mexico State,Away,L,81-72,173,NR,Q3
Nov 25,Georgia State,Neutral,W,78-63,,NR,Q4
Nov 26,Utah Valley,Neutral,L,89-45,88,NR,Q2
Dec 5,Virginia Commonwealth,Away,L,83-57,,NR,Q4
Dec 7,Cornell,Home,W,93-90,146,NR,Q3
Dec 15,Bryan,Home,W,106-51,,NR,Q4
Dec 19,Reinhardt,Home,W,85-49,,NR,Q4
Jan 1,Virginia Military Institute,Away,W,78-58,,NR,Q4
Jan 3,UNC Greensboro,Away,L,89-82,294,NR,Q4
Jan 7,Western Carolina,Home,W,82-77,263,NR,Q4
Jan 10,Chattanooga,Away,L,88-79,300,NR,Q4
Jan 14,Furman,Home,L,77-73,194,NR,Q4
Jan 17,East Tennessee State,Home,L,76-75,129,NR,Q3
Jan 21,Wofford,Away,L,88-78,229,NR,Q3
Jan 24,Chattanooga,Home,W,75-64,300,NR,Q4
Jan 29,Furman,Away,L,78-73,194,NR,Q3
Feb 1,Western Carolina,Away,W,88-74,263,NR,Q4
Feb 5,The Citadel,Home,W,78-64,351,NR,Q4
Feb 7,Mercer,Home,W,69-49,153,NR,Q3
Feb 11,Wofford,Home,W,97-80,229,NR,Q4
Feb 14,East Tennessee State,Away,W,82-72,129,NR,Q2
Feb 19,The Citadel,Away,TBD,,351,NR,Q4
Feb 21,Mercer,Away,TBD,,153,NR,Q3
Feb 26,Virginia Military Institute,Home,TBD,,,NR,Q4
Feb 28,UNC Greensboro,Home,TBD,,294,NR,Q4
