date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Occidental,Home,W,88-59,,NR,Q4
Nov 7,Idaho State,Home,L,71-68,,NR,Q4
Nov 12,Idaho,Home,W,78-74,167,NR,Q4
Nov 18,Grambling,Home,W,78-68,275,NR,Q4
Nov 21,UC Riverside,Home,L,85-71,291,NR,Q4
Nov 25,California Baptist,Neutral,L,76-61,109,NR,Q3
Nov 30,Long Beach State,Away,L,76-72,,NR,Q4
Dec 5,San Jose State,Away,L,86-69,265,NR,Q4
Dec 9,Southern California,Home,L,94-81,48,NR,Q2
Dec 13,Northern Arizona,Home,W,78-69,302,NR,Q4
Dec 19,UC San Diego,Away,W,82-80,125,NR,Q2
Dec 22,Washington,Away,L,86-56,52,NR,Q1
Dec 28,Pacific,Home,W,66-54,103,NR,Q3
Dec 30,Gonzaga,Home,L,99-93,6,NR,Q1
Jan 2,San Francisco,Away,L,74-64,118,NR,Q2
Jan 4,Santa Clara,Away,L,98-70,42,NR,Q1
Jan 8,Pepperdine,Home,W,83-63,284,NR,Q4
Jan 10,Pacific,Away,L,77-70,103,NR,Q2
Jan 15,Seattle,Away,L,75-64,,NR,Q4
Jan 17,Bethesda University (CA),Home,W,113-67,,NR,Q4
Jan 21,Washington State,Home,W,96-92,135,NR,Q3
Jan 24,Santa Clara,Home,L,85-73,42,NR,Q2
Jan 28,Pepperdine,Away,W,92-88,284,NR,Q4
Jan 31,Oregon State,Home,L,78-76,184,NR,Q4
Feb 4,Saint Mary's (CA),Away,L,87-60,26,NR,Q1
Feb 7,Loyola Marymount,Away,L,83-63,,NR,Q4
Feb 11,Portland,Home,W,71-58,208,NR,Q4
Feb 15,San Francisco,Home,L,92-79,118,NR,Q3
Feb 21,Loyola Marymount,Home,TBD,,,NR,Q4
Feb 25,Oregon State,Away,TBD,,184,NR,Q3
Feb 28,Portland,Away,TBD,,208,NR,Q3
