date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,UC Santa Cruz,Home,W,98-53,,NR,Q4
Nov 8,Memphis,Away,L,76-70,105,NR,Q2
Nov 12,Portland State,Home,W,80-70,,NR,Q4
Nov 15,Bradley,Home,W,75-64,113,NR,Q3
Nov 18,Northwestern State,Home,W,84-64,,NR,Q4
Nov 22,Minnesota,Neutral,W,77-65,86,NR,Q2
Nov 27,Colorado,Neutral,L,79-69,73,NR,Q2
Nov 28,Nevada,Neutral,L,81-65,59,NR,Q2
Dec 3,North Alabama,Home,L,65-63,,NR,Q4
Dec 7,Mississippi State,Neutral,W,65-62,94,NR,Q2
Dec 13,Saint Louis,Away,L,85-75,17,NR,Q1
Dec 17,Loyola (IL),Neutral,W,85-71,,NR,Q4
Dec 21,Morgan State,Home,W,94-64,,NR,Q4
Dec 28,Seattle,Away,W,67-59,,NR,Q4
Dec 30,Oregon State,Away,L,70-62,184,NR,Q3
Jan 2,San Diego,Home,W,74-64,223,NR,Q4
Jan 4,Portland,Home,W,73-68,208,NR,Q4
Jan 8,Loyola Marymount,Away,L,84-82,,NR,Q4
Jan 10,Pepperdine,Away,W,80-60,284,NR,Q4
Jan 13,Saint Mary's (CA),Home,L,82-68,26,NR,Q1
Jan 18,Washington State,Home,W,85-80,135,NR,Q3
Jan 24,Gonzaga,Away,L,68-66,6,NR,Q1
Jan 28,Santa Clara,Away,L,88-73,42,NR,Q1
Jan 31,Pacific,Home,W,87-82,103,NR,Q3
Feb 4,Loyola Marymount,Home,L,84-75,,NR,Q4
Feb 7,Saint Mary's (CA),Away,L,79-54,26,NR,Q1
Feb 12,Oregon State,Home,L,90-63,184,NR,Q4
Feb 15,San Diego,Away,W,92-79,223,NR,Q3
Feb 18,Gonzaga,Home,TBD,,6,NR,Q1
Feb 21,Santa Clara,Home,TBD,,42,NR,Q2
Feb 28,Pacific,Away,TBD,,103,NR,Q2
