date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Cal Poly Humboldt,Home,W,83-53,,NR,Q4
Nov 7,McNeese State,Home,W,79-67,55,NR,Q2
Nov 10,Xavier,Away,W,87-68,98,NR,Q2
Nov 15,Nevada,Home,W,98-83,58,NR,Q2
Nov 18,Idaho State,Home,W,64-55,,NR,Q4
Nov 21,Louisiana,Home,W,80-43,312,NR,Q4
Nov 27,Saint Louis,Neutral,L,71-70,17,NR,Q1
Nov 28,Minnesota,Neutral,W,86-75,86,NR,Q2
Dec 3,Utah Tech,Home,W,90-80,158,NR,Q3
Dec 6,New Mexico,Away,L,98-71,44,NR,Q1
Dec 13,Arizona State,Neutral,L,82-79,71,NR,Q2
Dec 17,North Texas,Neutral,W,63-60,152,NR,Q3
Dec 20,Loyola (IL),Neutral,L,80-78,,NR,Q4
Dec 28,Oregon State,Away,W,102-64,183,NR,Q3
Dec 30,Portland,Away,W,92-85,208,NR,Q3
Jan 2,Pepperdine,Home,W,82-63,284,NR,Q4
Jan 4,San Diego,Home,W,98-70,218,NR,Q4
Jan 8,Gonzaga,Away,L,89-77,6,NR,Q1
Jan 10,Loyola Marymount,Home,W,103-72,,NR,Q4
Jan 14,Pacific,Home,W,85-69,104,NR,Q3
Jan 17,Saint Mary's (CA),Home,W,62-54,26,NR,Q1
Jan 24,San Diego,Away,W,85-73,218,NR,Q3
Jan 28,San Francisco,Home,W,88-73,125,NR,Q3
Jan 31,Loyola Marymount,Away,W,104-73,,NR,Q4
Feb 4,Pacific,Away,W,71-56,104,NR,Q2
Feb 7,Washington State,Away,W,96-92,136,NR,Q3
Feb 11,Seattle,Home,W,84-72,,NR,Q4
Feb 14,Gonzaga,Home,L,94-86,6,NR,Q1
Feb 21,San Francisco,Away,TBD,,125,NR,Q2
Feb 25,Saint Mary's (CA),Away,TBD,,26,NR,Q1
Feb 28,Oregon State,Home,TBD,,183,NR,Q4
