date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Millsaps,Home,W,103-76,,NR,Q4
Nov 7,Arkansas State,Home,W,90-65,,NR,Q4
Nov 11,Rice,Away,W,81-69,248,NR,Q4
Nov 14,Abilene Christian,Home,W,76-66,231,NR,Q4
Nov 18,Fresno State,Away,L,80-78,137,NR,Q3
Nov 21,Pepperdine,Away,W,63-60,284,NR,Q4
Nov 29,UT Arlington,Away,L,66-61,158,NR,Q3
Dec 3,Texas-Rio Grande Valley,Home,W,73-60,140,NR,Q3
Dec 7,Louisiana-Monroe,Home,W,96-76,,NR,Q4
Dec 17,Texas A&M-Corpus Christi,Home,W,69-60,196,NR,Q4
Dec 21,Dallas,Home,W,103-55,,NR,Q4
Dec 29,East Texas A&M,Away,W,75-48,296,NR,Q4
Dec 31,Northwestern State,Away,W,74-64,,NR,Q4
Jan 3,Southeastern Louisiana,Away,W,73-63,,NR,Q4
Jan 5,McNeese State,Away,L,66-64,56,NR,Q1
Jan 10,Houston Christian,Home,W,85-67,298,NR,Q4
Jan 12,Incarnate Word,Home,W,56-46,,NR,Q4
Jan 17,New Orleans,Away,W,84-79,222,NR,Q3
Jan 19,Nicholls State,Away,W,79-62,,NR,Q4
Jan 24,Lamar,Away,W,88-81,211,NR,Q3
Jan 27,Northwestern State,Home,W,69-67,,NR,Q4
Jan 31,Southeastern Louisiana,Home,W,85-58,,NR,Q4
Feb 2,McNeese State,Home,W,67-60,56,NR,Q2
Feb 7,Lamar,Home,W,84-74,211,NR,Q4
Feb 9,East Texas A&M,Home,W,74-70,296,NR,Q4
Feb 14,Texas-Rio Grande Valley,Away,W,66-57,140,NR,Q3
Feb 16,Texas A&M-Corpus Christi,Away,TBD,,196,NR,Q3
Feb 21,Nicholls State,Home,TBD,,,NR,Q4
Feb 23,New Orleans,Home,TBD,,222,NR,Q4
Feb 28,Houston Christian,Away,TBD,,298,NR,Q4
Mar 2,Incarnate Word,Away,TBD,,,NR,Q4
