date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Bryant,Home,W,82-66,352,NR,Q4
Nov 7,Brown,Away,W,62-46,285,NR,Q4
Nov 12,St. Bonaventure,Away,L,75-66,145,NR,Q3
Nov 17,Colgate,Home,L,72-69,201,NR,Q4
Nov 21,Albany (NY),Home,W,73-63,,NR,Q4
Nov 24,Holy Cross,Away,W,73-69,327,NR,Q4
Nov 28,Longwood,Neutral,W,70-63,272,NR,Q4
Nov 29,American,Away,W,59-55,261,NR,Q4
Nov 30,Maine,Neutral,W,64-60,343,NR,Q4
Dec 5,Niagara,Home,W,83-54,342,NR,Q4
Dec 7,Canisius,Home,W,74-52,348,NR,Q4
Dec 17,Vermont,Away,L,83-69,215,NR,Q3
Dec 22,Indiana,Away,L,81-60,34,NR,Q1
Jan 2,Iona,Away,L,75-72,237,NR,Q3
Jan 4,Rider,Away,W,74-65,357,NR,Q4
Jan 9,Merrimack,Home,L,63-59,185,NR,Q4
Jan 11,Mount St. Mary's,Away,W,67-50,299,NR,Q4
Jan 14,Sacred Heart,Home,L,86-80,297,NR,Q4
Jan 17,Manhattan,Away,W,74-59,321,NR,Q4
Jan 19,Fairfield,Home,W,85-77,242,NR,Q4
Jan 22,Marist,Home,W,69-50,170,NR,Q4
Jan 30,Niagara,Away,W,82-79,342,NR,Q4
Feb 1,Canisius,Away,W,78-63,348,NR,Q4
Feb 5,Iona,Home,W,79-72,237,NR,Q4
Feb 7,Saint Peter's,Away,L,70-65,226,NR,Q3
Feb 13,Quinnipiac,Home,L,74-62,202,NR,Q4
Feb 15,Marist,Away,W,67-63,170,NR,Q3
Feb 20,Merrimack,Away,TBD,,185,NR,Q3
Feb 22,Saint Peter's,Home,TBD,,226,NR,Q4
Feb 27,Fairfield,Away,TBD,,242,NR,Q4
Mar 1,Rider,Home,TBD,,357,NR,Q4
