date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Tarleton State,Home,W,96-76,,NR,Q4
Nov 6,Texas A&M-Corpus Christi,Home,W,69-58,196,NR,Q4
Nov 11,Murray State,Home,W,102-91,,NR,Q4
Nov 15,Butler,Home,W,87-85,74,NR,Q2
Nov 18,Arkansas-Pine Bluff,Home,W,106-60,,NR,Q4
Nov 21,Arkansas State,Home,W,100-69,,NR,Q4
Nov 24,Radford,Home,W,89-72,240,NR,Q4
Nov 28,Mississippi State,Away,W,87-81,96,NR,Q2
Dec 3,Vanderbilt,Away,L,88-69,13,NR,Q1
Dec 7,Texas A&M,Neutral,W,93-80,43,NR,Q1
Dec 13,Louisiana State,Neutral,L,89-77,67,NR,Q2
Dec 21,Central Arkansas,Home,W,99-82,181,NR,Q4
Dec 28,Cal State Fullerton,Home,W,110-63,,NR,Q4
Jan 3,North Carolina,Home,W,97-83,25,NR,Q1
Jan 7,Clemson,Away,L,74-70,32,NR,Q1
Jan 10,Duke,Away,L,82-75,2,NR,Q1
Jan 14,Virginia Tech,Home,W,77-76,56,NR,Q2
Jan 17,Virginia,Home,L,72-68,19,NR,Q1
Jan 20,Wake Forest,Away,W,91-79,64,NR,Q1
Jan 24,Florida State,Home,W,83-80,82,NR,Q3
Jan 31,Louisville,Away,L,88-74,12,NR,Q1
Feb 3,NC State,Home,L,84-83,29,NR,Q1
Feb 7,Pittsburgh,Away,W,86-67,122,NR,Q2
Feb 10,Notre Dame,Home,W,89-81,87,NR,Q3
Feb 14,Syracuse,Away,L,79-78,69,NR,Q1
Feb 17,Louisville,Home,TBD,,12,NR,Q1
Feb 21,Boston College,Home,TBD,,153,NR,Q3
Feb 25,California,Away,TBD,,60,NR,Q1
Feb 28,Stanford,Away,TBD,,70,NR,Q1
Mar 4,Miami (FL),Home,TBD,,35,NR,Q2
Mar 7,Florida State,Away,TBD,,82,NR,Q2
