date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Toledo,Away,W,76-74,172,NR,Q3
Nov 6,Alcorn State,Home,W,76-70,,NR,Q4
Nov 8,Spring Hill,Home,W,99-50,,NR,Q4
Nov 13,Central Michigan,Neutral,W,66-64,,NR,Q4
Nov 15,Coppin State,Neutral,W,72-62,,NR,Q4
Nov 19,Jacksonville State,Away,W,71-65,,NR,Q4
Nov 21,UAB,Away,L,80-72,119,NR,Q2
Nov 30,UTSA,Away,W,82-58,341,NR,Q4
Dec 2,New Mexico State,Neutral,W,77-75,173,NR,Q3
Dec 5,East Tennessee State,Away,L,91-65,129,NR,Q2
Dec 14,North Texas,Home,L,58-57,148,NR,Q3
Dec 17,Louisiana-Monroe,Away,W,96-92,,NR,Q4
Dec 20,Texas State,Away,L,67-65,,NR,Q4
Dec 29,Mobile,Home,W,85-52,,NR,Q4
Dec 31,Louisiana,Away,W,63-58,312,NR,Q4
Jan 3,Troy,Away,L,59-49,132,NR,Q2
Jan 10,Georgia Southern,Home,W,87-71,,NR,Q4
Jan 15,Arkansas State,Home,W,91-87,,NR,Q4
Jan 17,Louisiana,Home,L,59-56,312,NR,Q4
Jan 22,James Madison,Away,W,90-83,219,NR,Q3
Jan 29,Coastal Carolina,Home,W,53-48,221,NR,Q4
Jan 31,Georgia State,Home,W,69-67,,NR,Q4
Feb 4,Appalachian State,Away,L,65-57,,NR,Q4
Feb 7,Buffalo,Home,W,81-69,177,NR,Q4
Feb 12,Southern Mississippi,Away,W,84-78,,NR,Q4
Feb 14,Arkansas State,Away,W,92-88,,NR,Q4
Feb 16,Marshall,Away,TBD,,149,NR,Q3
Feb 19,Texas State,Home,TBD,,,NR,Q4
Feb 21,Troy,Home,TBD,,132,NR,Q3
Feb 25,Louisiana-Monroe,Home,TBD,,,NR,Q4
Feb 27,Southern Mississippi,Home,TBD,,,NR,Q4
