date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Merrimack,Neutral,W,75-66,185,NR,Q3
Nov 6,Dakota State,Home,W,68-62,,NR,Q4
Nov 9,Northern Iowa,Away,L,65-58,,NR,Q4
Nov 12,Oregon,Away,L,83-69,107,NR,Q2
Nov 17,Peru State,Home,W,94-46,,NR,Q4
Nov 21,Georgia State,Home,W,105-58,,NR,Q4
Nov 25,Utah Valley,Neutral,L,75-52,88,NR,Q2
Nov 26,UC Irvine,Neutral,L,64-52,120,NR,Q3
Dec 3,Northern Arizona,Away,W,75-62,302,NR,Q4
Dec 6,Idaho,Home,L,84-81,167,NR,Q4
Dec 9,Ball State,Away,W,68-64,,NR,Q4
Dec 12,Dakota Wesleyan,Home,W,94-62,,NR,Q4
Dec 15,Wyoming,Neutral,L,87-72,101,NR,Q3
Dec 19,Milwaukee,Neutral,L,88-87,246,NR,Q4
Dec 29,Arizona,Away,L,99-71,3,NR,Q1
Jan 1,Omaha,Home,W,84-69,249,NR,Q4
Jan 3,North Dakota,Away,L,90-87,274,NR,Q4
Jan 8,Denver,Home,W,87-79,233,NR,Q4
Jan 14,North Dakota State,Away,L,76-65,,NR,Q4
Jan 17,Kansas City,Home,W,90-62,355,NR,Q4
Jan 22,St. Thomas,Away,L,74-69,,NR,Q4
Jan 28,Omaha,Away,L,80-71,249,NR,Q4
Jan 31,Oral Roberts,Home,W,95-72,335,NR,Q4
Feb 4,St. Thomas,Home,L,77-62,,NR,Q4
Feb 7,South Dakota,Home,L,68-67,276,NR,Q4
Feb 12,Denver,Away,L,79-61,233,NR,Q3
Feb 14,Oral Roberts,Away,W,87-69,335,NR,Q4
Feb 18,North Dakota State,Home,TBD,,,NR,Q4
Feb 21,North Dakota,Home,TBD,,274,NR,Q4
Feb 26,Kansas City,Away,TBD,,355,NR,Q4
Feb 28,South Dakota,Away,TBD,,276,NR,Q4
