date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Utah Tech,Home,L,81-79,156,NR,Q3
Nov 5,Creighton,Away,L,92-76,81,NR,Q2
Nov 9,Ozark Christian College,Home,W,121-65,,NR,Q4
Nov 12,Southern Indiana,Home,W,89-74,,NR,Q4
Nov 16,Western Michigan,Home,W,83-78,,NR,Q4
Nov 20,Missouri,Away,L,102-68,66,NR,Q1
Nov 23,South Carolina State,Home,W,82-81,358,NR,Q4
Nov 29,Air Force,Neutral,W,80-63,346,NR,Q4
Dec 3,Portland State,Home,L,77-71,,NR,Q4
Dec 6,Northern Colorado,Away,L,89-87,,NR,Q4
Dec 9,Wyoming,Away,L,106-79,101,NR,Q2
Dec 13,Prairie View,Home,W,97-85,330,NR,Q4
Dec 17,Dakota State,Home,W,80-71,,NR,Q4
Dec 20,Kansas State,Away,L,106-76,100,NR,Q2
Dec 28,Mount Marty,Home,W,85-61,,NR,Q4
Dec 31,North Dakota State,Away,L,84-61,,NR,Q4
Jan 7,St. Thomas,Away,L,99-86,,NR,Q4
Jan 10,Denver,Home,W,82-72,233,NR,Q4
Jan 15,Kansas City,Home,W,99-83,355,NR,Q4
Jan 17,North Dakota,Away,L,96-80,274,NR,Q4
Jan 21,Omaha,Away,W,68-64,249,NR,Q4
Jan 24,St. Thomas,Home,L,90-78,,NR,Q4
Jan 29,Oral Roberts,Home,W,77-69,335,NR,Q4
Jan 31,North Dakota State,Home,L,89-84,,NR,Q4
Feb 4,Kansas City,Away,W,82-75,355,NR,Q4
Feb 7,South Dakota State,Away,W,68-67,204,NR,Q3
Feb 11,North Dakota,Home,L,72-71,274,NR,Q4
Feb 19,Denver,Away,TBD,,233,NR,Q3
Feb 21,Oral Roberts,Away,TBD,,335,NR,Q4
Feb 25,Omaha,Home,TBD,,249,NR,Q4
Feb 28,South Dakota State,Home,TBD,,204,NR,Q4
