date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Florida A&M,Home,W,102-67,336,NR,Q4
Nov 8,George Washington,Neutral,L,99-95,84,NR,Q2
Nov 12,Coppin State,Home,W,100-50,,NR,Q4
Nov 16,Kennesaw State,Away,W,108-89,,NR,Q4
Nov 19,Oklahoma State,Away,L,103-95,72,NR,Q1
Nov 26,Virginia Commonwealth,Neutral,L,78-66,,NR,Q4
Nov 27,Western Kentucky,Neutral,W,97-91,175,NR,Q3
Nov 28,Colorado State,Neutral,L,83-68,95,NR,Q2
Dec 4,Utah State,Home,W,74-61,23,NR,Q1
Dec 10,College of Charleston,Home,W,81-75,,NR,Q4
Dec 17,Alabama,Away,L,104-93,21,NR,Q1
Dec 21,Maryland-Baltimore County,Home,W,94-69,,NR,Q4
Dec 29,Georgia College & State University,Home,W,111-50,,NR,Q4
Jan 4,UAB,Home,L,109-106,119,NR,Q3
Jan 7,North Texas,Away,W,74-70,148,NR,Q3
Jan 10,Tulsa,Away,W,93-78,53,NR,Q1
Jan 14,East Carolina,Home,W,82-71,269,NR,Q4
Jan 18,Wichita State,Home,L,86-85,,NR,Q4
Jan 22,UAB,Away,W,82-69,119,NR,Q2
Jan 25,Florida Atlantic,Home,W,89-75,,NR,Q4
Jan 28,Tulane,Away,W,97-83,190,NR,Q3
Jan 31,Temple,Away,L,79-78,162,NR,Q3
Feb 4,UTSA,Home,W,109-88,341,NR,Q4
Feb 8,Tulsa,Home,W,80-74,53,NR,Q2
Feb 11,Wichita State,Away,W,66-58,,NR,Q4
Feb 15,Florida Atlantic,Away,W,83-81,,NR,Q4
Feb 19,Memphis,Home,TBD,,105,NR,Q3
Feb 25,Rice,Away,TBD,,248,NR,Q4
Mar 1,Tulane,Home,TBD,,190,NR,Q4
Mar 5,Memphis,Away,TBD,,105,NR,Q2
Mar 8,Charlotte,Home,TBD,,189,NR,Q4
