date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,Butler,Away,L,88-58,80,NR,Q2
Nov 7,Virginia Military Institute,Home,L,78-74,,NR,Q4
Nov 12,South Dakota,Away,L,89-74,276,NR,Q4
Nov 16,Loras,Home,W,91-74,,NR,Q4
Nov 20,Incarnate Word,Neutral,L,87-81,,NR,Q4
Nov 22,Illinois-Chicago,Neutral,L,84-73,,NR,Q4
Nov 26,Valparaiso,Away,W,64-56,163,NR,Q3
Nov 29,Kentucky State,Home,W,93-56,,NR,Q4
Dec 3,Western Michigan,Away,L,88-74,,NR,Q4
Dec 7,Indiana State,Away,L,77-55,218,NR,Q3
Dec 15,East-West,Home,TBD,,,NR,Q4
Dec 18,Little Rock,Home,L,77-62,307,NR,Q4
Dec 20,Morehead State,Home,L,64-60,,NR,Q4
Jan 1,Southern Illinois-Edwardsville,Away,L,59-55,,NR,Q4
Jan 3,Lindenwood,Away,L,83-80,240,NR,Q3
Jan 8,Southeast Missouri State,Home,L,84-76,,NR,Q4
Jan 10,Tennessee-Martin,Home,L,73-56,,NR,Q4
Jan 15,Tennessee Tech,Away,W,71-54,316,NR,Q4
Jan 17,Tennessee State,Away,L,73-67,235,NR,Q3
Jan 22,Eastern Illinois,Home,L,59-51,317,NR,Q4
Jan 23,Western Illinois,Home,W,96-64,,NR,Q4
Jan 29,Lindenwood,Home,L,73-60,240,NR,Q4
Jan 31,Southern Illinois-Edwardsville,Home,L,58-46,,NR,Q4
Feb 5,Tennessee-Martin,Away,L,76-54,,NR,Q4
Feb 7,Southeast Missouri State,Away,L,90-65,,NR,Q4
Feb 12,Tennessee State,Home,L,73-71,235,NR,Q4
Feb 14,Tennessee Tech,Home,L,82-74,316,NR,Q4
Feb 19,Western Illinois,Away,TBD,,,NR,Q4
Feb 21,Eastern Illinois,Away,TBD,,317,NR,Q4
Feb 24,Morehead State,Away,TBD,,,NR,Q4
Feb 28,Little Rock,Away,TBD,,307,NR,Q4
