date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Buffalo,Away,L,85-79,177,NR,Q3
Nov 6,Tougaloo,Home,W,93-57,,NR,Q4
Nov 9,South Carolina,Away,L,83-79,112,NR,Q2
Nov 13,Grambling,Away,L,75-70,275,NR,Q4
Nov 18,William Carey,Home,W,82-59,,NR,Q4
Nov 22,North Florida,Neutral,W,92-83,337,NR,Q4
Nov 23,Tennessee-Martin,Neutral,W,70-60,,NR,Q4
Dec 3,Radford,Away,W,82-75,239,NR,Q3
Dec 6,Miami (FL),Away,L,88-64,35,NR,Q1
Dec 8,Grambling,Home,W,68-60,275,NR,Q4
Dec 13,Mississippi,Neutral,L,71-67,92,NR,Q2
Dec 18,Louisiana,Home,W,62-54,312,NR,Q4
Dec 20,Arkansas State,Home,L,93-86,,NR,Q4
Dec 29,Louisiana State,Away,L,90-62,67,NR,Q1
Jan 1,Louisiana-Monroe,Away,W,87-73,,NR,Q4
Jan 3,Louisiana,Away,W,74-67,312,NR,Q4
Jan 8,Texas State,Home,W,80-70,,NR,Q4
Jan 10,Louisiana-Monroe,Home,W,70-60,,NR,Q4
Jan 14,Troy,Away,L,91-65,132,NR,Q2
Jan 17,Texas State,Away,L,74-67,,NR,Q4
Jan 22,Georgia State,Away,L,69-62,,NR,Q4
Jan 24,Coastal Carolina,Away,L,85-67,221,NR,Q3
Jan 29,Appalachian State,Home,L,70-63,,NR,Q4
Jan 31,James Madison,Home,W,73-65,219,NR,Q4
Feb 4,Marshall,Away,L,81-77,149,NR,Q3
Feb 7,Kent State,Home,W,66-65,144,NR,Q3
Feb 12,South Alabama,Home,L,84-78,168,NR,Q4
Feb 14,Troy,Home,W,69-65,132,NR,Q3
Feb 21,Old Dominion,Home,TBD,,256,NR,Q4
Feb 24,Arkansas State,Away,TBD,,,NR,Q4
Feb 27,South Alabama,Away,TBD,,168,NR,Q3
