date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Arizona State,Away,L,81-64,71,NR,Q1
Nov 8,Texas-Rio Grande Valley,Home,L,95-72,140,NR,Q3
Nov 11,Bethesda University (CA),Home,W,118-60,,NR,Q4
Nov 15,Omaha,Away,L,90-85,249,NR,Q4
Nov 17,Gonzaga,Away,L,122-50,6,NR,Q1
Nov 19,Washington State,Away,L,98-74,135,NR,Q2
Nov 22,Nobel,Home,W,103-68,,NR,Q4
Nov 28,Robert Morris,Away,L,61-54,161,NR,Q3
Nov 29,Stetson,Neutral,W,70-68,325,NR,Q4
Dec 1,West Coast Baptist,Home,W,124-59,,NR,Q4
Dec 6,Oregon State,Away,L,81-70,184,NR,Q3
Dec 13,Washington,Away,L,105-69,52,NR,Q1
Dec 18,Northern Arizona,Away,L,65-57,302,NR,Q4
Dec 29,Utah Tech,Away,L,80-66,156,NR,Q3
Jan 3,UT Arlington,Home,L,86-77,158,NR,Q3
Jan 8,Utah Valley,Away,L,89-72,88,NR,Q2
Jan 10,California Baptist,Away,L,58-55,109,NR,Q2
Jan 15,Tarleton State,Home,W,106-105,,NR,Q4
Jan 17,Abilene Christian,Home,W,74-52,231,NR,Q4
Jan 21,Utah Valley,Home,W,84-70,88,NR,Q3
Jan 24,Utah Tech,Away,L,102-91,156,NR,Q3
Jan 29,UT Arlington,Away,L,80-61,158,NR,Q3
Jan 31,Abilene Christian,Away,W,79-76,231,NR,Q3
Feb 7,Tarleton State,Home,L,62-59,,NR,Q4
Feb 12,California Baptist,Home,L,83-66,109,NR,Q3
Feb 14,UT Arlington,Away,W,78-73,158,NR,Q3
Feb 19,Tarleton State,Away,TBD,,,NR,Q4
Feb 21,Abilene Christian,Away,TBD,,231,NR,Q3
Feb 28,Utah Tech,Home,TBD,,156,NR,Q3
Mar 5,Utah Valley,Home,TBD,,88,NR,Q3
Mar 7,California Baptist,Home,TBD,,109,NR,Q3
