date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Bradley,Neutral,W,69-63,113,NR,Q3
Nov 8,Canisius,Home,W,89-70,348,NR,Q4
Nov 12,Siena,Home,W,75-66,188,NR,Q4
Nov 15,Youngstown State,Home,W,84-80,,NR,Q4
Nov 20,Robert Morris,Home,W,75-61,161,NR,Q4
Nov 25,North Carolina,Neutral,L,85-70,25,NR,Q1
Nov 27,East Carolina,Neutral,W,67-58,269,NR,Q4
Nov 30,Florida Atlantic,Away,W,70-65,,NR,Q4
Dec 3,Bloomsburg,Home,W,83-43,,NR,Q4
Dec 6,Buffalo,Away,W,77-69,177,NR,Q3
Dec 10,Colgate,Home,W,85-77,201,NR,Q4
Dec 13,Ohio,Neutral,L,88-83,213,NR,Q4
Dec 20,Le Moyne,Home,W,92-81,280,NR,Q4
Dec 31,Virginia Commonwealth,Away,L,89-82,,NR,Q4
Jan 7,Richmond,Home,L,89-80,142,NR,Q3
Jan 10,Fordham,Home,L,81-77,178,NR,Q4
Jan 14,Saint Joseph's,Away,L,68-64,157,NR,Q3
Jan 17,La Salle,Away,L,78-74,241,NR,Q4
Jan 20,Loyola (IL),Home,W,84-70,,NR,Q4
Jan 23,Saint Louis,Home,L,97-62,17,NR,Q1
Jan 28,Duquesne,Away,W,87-79,117,NR,Q2
Jan 31,George Mason,Home,L,77-73,91,NR,Q3
Feb 3,Dayton,Away,L,72-70,89,NR,Q2
Feb 7,Fordham,Away,W,70-67,178,NR,Q3
Feb 14,Duquesne,Home,L,78-73,117,NR,Q3
Feb 18,Saint Joseph's,Home,TBD,,157,NR,Q3
Feb 21,Richmond,Away,TBD,,142,NR,Q3
Feb 25,Rhode Island,Home,TBD,,136,NR,Q3
Feb 28,George Mason,Away,TBD,,91,NR,Q2
Mar 4,George Washington,Away,TBD,,84,NR,Q2
Mar 7,Davidson,Home,TBD,,104,NR,Q3
