date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Saint Mary's (CA),Away,L,84-58,26,NR,Q1
Nov 8,Army,Home,W,83-76,332,NR,Q4
Nov 10,Washington State,Away,L,81-71,135,NR,Q2
Nov 13,Green Bay,Home,W,80-61,224,NR,Q4
Nov 15,Southeast Missouri State,Away,W,84-72,,NR,Q4
Nov 21,Northern Colorado,Neutral,W,73-72,,NR,Q4
Nov 22,Cal State Fullerton,Neutral,L,88-80,,NR,Q4
Nov 23,Portland,Away,W,76-66,208,NR,Q3
Nov 29,Lawrence,Home,W,87-52,,NR,Q4
Dec 3,Montana State,Away,L,82-74,,NR,Q4
Dec 7,Weber State,Home,W,88-65,,NR,Q4
Dec 11,Saint John's (MN),Home,W,80-56,,NR,Q4
Dec 13,UNC Asheville,Away,W,80-59,228,NR,Q3
Dec 20,UC Riverside,Home,W,92-78,291,NR,Q4
Dec 28,North Central (MN),Home,W,105-59,,NR,Q4
Jan 4,Denver,Home,W,92-88,233,NR,Q4
Jan 7,South Dakota,Home,W,99-86,276,NR,Q4
Jan 10,Oral Roberts,Away,W,82-71,335,NR,Q4
Jan 15,North Dakota,Away,W,91-80,274,NR,Q4
Jan 17,North Dakota State,Away,L,68-65,,NR,Q4
Jan 22,South Dakota State,Home,W,74-69,204,NR,Q4
Jan 24,South Dakota,Away,W,90-78,276,NR,Q4
Jan 29,North Dakota,Home,L,81-80,274,NR,Q4
Feb 1,Kansas City,Home,W,99-64,355,NR,Q4
Feb 4,South Dakota State,Away,W,77-62,204,NR,Q3
Feb 7,Oral Roberts,Home,W,92-75,335,NR,Q4
Feb 12,Omaha,Away,L,98-94,249,NR,Q4
Feb 14,Kansas City,Away,W,104-64,355,NR,Q4
Feb 21,Denver,Away,TBD,,233,NR,Q3
Feb 26,North Dakota State,Home,TBD,,,NR,Q4
Feb 28,Omaha,Home,TBD,,249,NR,Q4
