date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Portland State,Home,W,89-79,,NR,Q4
Nov 8,Montana,Home,W,91-68,182,NR,Q4
Nov 12,Montana State,Home,W,77-68,,NR,Q4
Nov 18,Louisiana,Home,W,93-66,312,NR,Q4
Nov 21,Seattle,Home,L,77-69,,NR,Q4
Nov 27,Minnesota,Neutral,W,72-68,86,NR,Q2
Nov 28,Saint Louis,Neutral,W,78-77,17,NR,Q1
Dec 1,Portland,Home,W,94-72,208,NR,Q4
Dec 7,Nevada-Las Vegas,Home,L,75-74,,NR,Q4
Dec 13,San Jose State,Away,W,86-82,266,NR,Q4
Dec 17,UT Arlington,Home,W,76-60,159,NR,Q3
Dec 20,Colorado,Neutral,W,77-68,73,NR,Q2
Dec 27,Cal State Northridge,Home,W,88-80,,NR,Q4
Dec 30,Notre Dame,Home,L,47-40,87,NR,Q3
Jan 2,Louisville,Home,W,80-76,12,NR,Q1
Jan 7,Virginia Tech,Away,W,69-68,56,NR,Q1
Jan 10,Virginia,Away,L,70-55,19,NR,Q1
Jan 14,North Carolina,Home,W,95-90,25,NR,Q1
Jan 17,Duke,Home,L,80-50,2,NR,Q1
Jan 24,California,Home,L,78-66,60,NR,Q2
Jan 28,Miami (FL),Away,L,79-70,35,NR,Q1
Jan 31,Florida State,Away,L,88-80,82,NR,Q2
Feb 4,Clemson,Home,L,66-64,32,NR,Q2
Feb 7,Georgia Tech,Home,W,95-72,163,NR,Q4
Feb 11,Boston College,Away,W,70-64,153,NR,Q3
Feb 14,Wake Forest,Away,L,68-63,64,NR,Q1
Feb 21,California,Away,TBD,,60,NR,Q1
Feb 25,Pittsburgh,Home,TBD,,122,NR,Q3
Feb 28,Southern Methodist,Home,TBD,,36,NR,Q2
Mar 4,Notre Dame,Away,TBD,,87,NR,Q2
Mar 7,NC State,Away,TBD,,29,NR,Q1
