date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Thomas (ME),Home,W,100-48,,NR,Q4
Nov 7,DePaul,Away,L,72-64,108,NR,Q2
Nov 11,Rhode Island,Away,L,80-57,136,NR,Q3
Nov 14,Fairfield,Away,L,73-71,242,NR,Q4
Nov 15,Loyola (MD),Neutral,L,74-63,,NR,Q4
Nov 17,Iowa State,Away,L,96-57,8,NR,Q1
Nov 21,Lafayette,Home,W,74-70,326,NR,Q4
Nov 26,Massachusetts-Lowell,Home,L,75-64,323,NR,Q4
Nov 30,Quinnipiac,Away,L,76-62,202,NR,Q3
Dec 2,Bryant,Away,L,77-65,352,NR,Q4
Dec 12,Vermont State–Johnson,Home,W,101-60,,NR,Q4
Dec 17,New Hampshire,Away,L,59-58,334,NR,Q4
Dec 22,Syracuse,Away,L,77-48,69,NR,Q1
Jan 2,New Haven,Home,L,70-55,329,NR,Q4
Jan 4,Wagner,Away,W,69-60,315,NR,Q4
Jan 8,Central Connecticut State,Away,L,76-69,,NR,Q4
Jan 10,Chicago State,Home,W,85-82,,NR,Q4
Jan 17,Mercyhurst,Away,W,62-57,283,NR,Q4
Jan 19,Saint Francis (PA),Away,L,63-61,,NR,Q4
Jan 23,Long Island University,Home,L,66-63,195,NR,Q4
Jan 26,Central Connecticut State,Home,W,61-59,,NR,Q4
Jan 29,FDU,Home,W,58-57,328,NR,Q4
Jan 31,Le Moyne,Away,W,65-54,280,NR,Q4
Feb 5,FDU,Away,L,74-58,328,NR,Q4
Feb 7,Long Island University,Away,L,61-54,195,NR,Q3
Feb 12,Chicago State,Away,L,68-55,,NR,Q4
Feb 14,Wagner,Home,L,68-57,315,NR,Q4
Feb 19,New Haven,Away,TBD,,329,NR,Q4
Feb 21,Le Moyne,Home,TBD,,280,NR,Q4
Feb 26,Saint Francis (PA),Home,TBD,,,NR,Q4
Feb 28,Mercyhurst,Home,TBD,,283,NR,Q4
