date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Fisk,Home,W,101-50,,NR,Q4
Nov 8,Belmont,Away,L,87-79,55,NR,Q1
Nov 11,Oakwood,Home,W,114-76,,NR,Q4
Nov 16,Western Kentucky,Away,L,95-82,175,NR,Q3
Nov 20,Tennessee,Away,L,89-60,22,NR,Q1
Nov 25,UNC Asheville,Away,W,75-73,228,NR,Q3
Nov 29,Tennessee Wesleyan,Neutral,W,98-77,,NR,Q4
Nov 30,Chattanooga,Away,W,70-64,300,NR,Q4
Dec 3,Alabama A&M,Away,L,80-53,311,NR,Q4
Dec 13,Nevada-Las Vegas,Away,W,63-60,,NR,Q4
Dec 18,Tennessee-Martin,Home,W,78-71,,NR,Q4
Dec 20,Southeast Missouri State,Home,L,91-82,,NR,Q4
Dec 30,Tennessee Tech,Away,W,88-76,316,NR,Q4
Jan 3,Little Rock,Away,W,84-79,307,NR,Q4
Jan 8,Western Illinois,Away,W,90-68,,NR,Q4
Jan 10,Eastern Illinois,Away,L,74-70,317,NR,Q4
Jan 15,Morehead State,Home,W,105-100,,NR,Q4
Jan 17,Southern Indiana,Home,W,73-67,,NR,Q4
Jan 22,Southern Illinois-Edwardsville,Away,L,74-66,,NR,Q4
Jan 24,Lindenwood,Away,W,96-86,240,NR,Q3
Jan 29,Little Rock,Home,W,70-63,307,NR,Q4
Feb 2,Tennessee Tech,Home,L,90-85,316,NR,Q4
Feb 5,Eastern Illinois,Home,W,77-68,317,NR,Q4
Feb 7,Western Illinois,Home,W,83-56,,NR,Q4
Feb 12,Southern Indiana,Away,W,73-71,,NR,Q4
Feb 14,Morehead State,Away,L,94-86,,NR,Q4
Feb 19,Lindenwood,Home,TBD,,240,NR,Q4
Feb 21,Southern Illinois-Edwardsville,Home,TBD,,,NR,Q4
Feb 28,Tennessee-Martin,Away,TBD,,,NR,Q4
