date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Western Kentucky,Away,L,82-70,175,NR,Q3
Nov 7,Charlotte,Away,L,70-65,189,NR,Q3
Nov 10,VU Lynchburg,Home,W,118-58,,NR,Q4
Nov 13,Berea,Home,W,86-64,,NR,Q4
Nov 17,West Georgia,Home,L,61-59,,NR,Q4
Nov 19,South Carolina Upstate,Away,W,88-84,293,NR,Q4
Nov 26,Kentucky,Away,L,104-54,28,NR,Q1
Nov 29,Georgia,Away,L,123-81,39,NR,Q1
Dec 3,Lipscomb,Away,L,83-80,186,NR,Q3
Dec 6,West Georgia,Away,W,87-59,,NR,Q4
Dec 13,Bethel (TN),Home,W,101-69,,NR,Q4
Dec 18,Southeast Missouri State,Home,W,85-74,,NR,Q4
Dec 20,Tennessee-Martin,Home,L,86-62,,NR,Q4
Dec 30,Tennessee State,Home,L,88-76,235,NR,Q4
Jan 1,Little Rock,Away,L,77-58,307,NR,Q4
Jan 8,Eastern Illinois,Away,L,71-61,317,NR,Q4
Jan 10,Western Illinois,Away,W,59-54,,NR,Q4
Jan 15,Southern Indiana,Home,L,71-54,,NR,Q4
Jan 17,Morehead State,Home,L,76-70,,NR,Q4
Jan 22,Lindenwood,Away,L,89-68,240,NR,Q3
Jan 24,Southern Illinois-Edwardsville,Away,L,62-58,,NR,Q4
Jan 31,Little Rock,Home,W,87-77,307,NR,Q4
Feb 2,Tennessee State,Away,W,90-85,235,NR,Q3
Feb 5,Western Illinois,Home,W,97-72,,NR,Q4
Feb 7,Eastern Illinois,Home,L,60-54,317,NR,Q4
Feb 12,Morehead State,Away,L,73-66,,NR,Q4
Feb 14,Southern Indiana,Away,W,82-74,,NR,Q4
Feb 19,Southern Illinois-Edwardsville,Home,TBD,,,NR,Q4
Feb 21,Lindenwood,Home,TBD,,240,NR,Q4
Feb 26,Tennessee-Martin,Away,TBD,,,NR,Q4
Feb 28,Southeast Missouri State,Away,TBD,,,NR,Q4
