date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Lindenwood,Home,W,98-60,241,NR,Q4
Nov 7,Sam Houston,Home,W,98-77,106,NR,Q3
Nov 11,Illinois,Away,L,81-77,7,NR,Q1
Nov 14,Milwaukee,Home,W,80-63,251,NR,Q4
Nov 20,Wake Forest,Neutral,W,84-83,64,NR,Q2
Nov 21,Purdue,Neutral,L,86-56,5,NR,Q1
Nov 26,New Orleans,Home,W,82-50,225,NR,Q4
Nov 30,Wyoming,Home,W,76-72,102,NR,Q3
Dec 7,Louisiana State,Neutral,W,82-58,67,NR,Q2
Dec 13,Arkansas,Neutral,L,93-86,18,NR,Q1
Dec 16,Northern Colorado,Home,W,101-90,,NR,Q4
Dec 20,Duke,Neutral,W,82-81,2,NR,Q1
Dec 28,Winthrop,Home,W,87-57,121,NR,Q3
Jan 3,Oklahoma State,Home,W,102-80,72,NR,Q2
Jan 6,Houston,Away,L,69-65,4,NR,Q1
Jan 10,Colorado,Away,W,73-71,73,NR,Q1
Jan 14,Utah,Home,W,88-74,126,NR,Q3
Jan 17,Brigham Young,Home,W,84-71,20,NR,Q1
Jan 20,Baylor,Away,W,92-73,47,NR,Q1
Jan 24,Houston,Home,W,90-86,4,NR,Q1
Jan 31,UCF,Away,L,88-80,49,NR,Q1
Feb 2,Kansas,Home,L,64-61,14,NR,Q1
Feb 8,West Virginia,Away,W,70-63,54,NR,Q1
Feb 11,Colorado,Home,W,78-44,73,NR,Q2
Feb 14,Arizona,Away,W,78-75,3,NR,Q1
Feb 17,Arizona State,Away,TBD,,71,NR,Q1
Feb 21,Kansas State,Home,TBD,,101,NR,Q3
Feb 24,Cincinnati,Home,TBD,,63,NR,Q2
Feb 28,Iowa State,Away,TBD,,8,NR,Q1
Mar 3,TCU,Home,TBD,,45,NR,Q2
Mar 7,Brigham Young,Away,TBD,,20,NR,Q1
