date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Menlo,Home,W,96-69,,NR,Q4
Nov 5,North Dakota State,Home,W,80-68,,NR,Q4
Nov 9,Portland,Away,L,67-63,208,NR,Q3
Nov 14,Sacramento State,Home,W,77-73,,NR,Q4
Nov 18,Nevada,Away,W,75-71,59,NR,Q1
Nov 21,Colorado,Away,L,95-79,73,NR,Q1
Nov 24,Louisiana,Home,W,77-56,312,NR,Q4
Dec 5,Hawaii,Away,L,75-69,98,NR,Q2
Dec 13,Oregon,Away,L,104-62,107,NR,Q2
Dec 17,Seattle,Home,L,79-78,,NR,Q4
Dec 21,Idaho State,Away,W,93-83,,NR,Q4
Dec 28,Pacific Union,Home,W,108-52,,NR,Q4
Jan 1,Cal State Northridge,Home,W,89-80,,NR,Q4
Jan 3,Cal State Bakersfield,Home,L,81-79,,NR,Q4
Jan 8,UC Santa Barbara,Away,W,93-86,133,NR,Q2
Jan 10,Cal Poly,Away,L,84-78,238,NR,Q3
Jan 15,Cal State Fullerton,Home,W,74-69,,NR,Q4
Jan 17,UC Irvine,Home,W,75-72,120,NR,Q3
Jan 22,UC San Diego,Home,L,80-74,125,NR,Q3
Jan 24,UC Riverside,Home,W,74-66,291,NR,Q4
Jan 29,Cal State Northridge,Away,L,94-78,,NR,Q4
Jan 31,Cal State Bakersfield,Away,W,80-72,,NR,Q4
Feb 5,UC Santa Barbara,Home,W,85-75,133,NR,Q3
Feb 7,Cal Poly,Home,W,67-58,238,NR,Q4
Feb 12,UC San Diego,Away,L,68-51,125,NR,Q2
Feb 14,Long Beach State,Home,W,71-54,,NR,Q4
Feb 19,Cal State Fullerton,Away,TBD,,,NR,Q4
Feb 21,UC Riverside,Away,TBD,,291,NR,Q4
Feb 26,Hawaii,Home,TBD,,98,NR,Q3
Mar 5,Long Beach State,Away,TBD,,,NR,Q4
Mar 7,UC Irvine,Away,TBD,,120,NR,Q2
