date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Bethesda University (CA),Home,W,125-49,,NR,Q4
Nov 7,California Baptist,Home,L,69-61,109,NR,Q3
Nov 10,Lincoln (CA),Home,W,130-63,,NR,Q4
Nov 15,Weber State,Home,W,79-70,,NR,Q4
Nov 19,Utah Valley,Away,L,79-72,88,NR,Q2
Nov 22,Northern Iowa,Home,L,70-69,,NR,Q4
Nov 25,New Mexico State,Neutral,L,57-45,173,NR,Q3
Nov 26,South Dakota State,Neutral,W,64-52,204,NR,Q4
Nov 30,San Jose State,Away,W,72-63,265,NR,Q4
Dec 4,UC Riverside,Home,W,73-60,291,NR,Q4
Dec 6,Cal State Northridge,Home,W,85-71,,NR,Q4
Dec 19,Belmont,Home,L,84-58,55,NR,Q2
Dec 21,North Dakota State,Neutral,W,74-73,,NR,Q4
Dec 22,Norfolk State,Neutral,W,89-70,309,NR,Q4
Jan 1,Cal State Bakersfield,Away,W,81-77,,NR,Q4
Jan 3,Cal State Fullerton,Away,W,86-64,,NR,Q4
Jan 8,Long Beach State,Home,W,74-64,,NR,Q4
Jan 11,Hawaii,Away,L,67-66,98,NR,Q2
Jan 17,UC Davis,Away,L,75-72,166,NR,Q3
Jan 22,UC Riverside,Away,W,80-66,291,NR,Q4
Jan 24,UC San Diego,Away,W,61-59,125,NR,Q2
Jan 29,Hawaii,Home,W,87-76,98,NR,Q3
Feb 5,Cal State Bakersfield,Home,W,78-62,,NR,Q4
Feb 7,UC Santa Barbara,Away,L,84-79,133,NR,Q2
Feb 12,Cal Poly,Away,L,79-73,238,NR,Q3
Feb 14,Cal State Fullerton,Home,W,86-65,,NR,Q4
Feb 19,Long Beach State,Away,TBD,,,NR,Q4
Feb 21,UC San Diego,Home,TBD,,125,NR,Q3
Feb 26,Cal State Northridge,Away,TBD,,,NR,Q4
Feb 28,UC Santa Barbara,Home,TBD,,133,NR,Q3
Mar 5,Cal Poly,Home,TBD,,238,NR,Q4
Mar 7,UC Davis,Home,TBD,,166,NR,Q4
