date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,La Verne,Home,W,105-73,,NR,Q4
Nov 8,Houston Christian,Home,W,78-60,298,NR,Q4
Nov 12,Fresno State,Away,W,78-73,137,NR,Q3
Nov 15,Idaho,Home,W,75-67,167,NR,Q4
Nov 24,Temple,Neutral,W,91-76,162,NR,Q3
Nov 25,Bradley,Neutral,W,87-77,113,NR,Q3
Nov 26,Towson,Neutral,W,87-73,176,NR,Q3
Dec 2,Nevada,Away,L,76-70,59,NR,Q1
Dec 6,Long Beach State,Away,W,80-74,,NR,Q4
Dec 14,Tulane,Neutral,W,93-67,190,NR,Q3
Dec 16,Loyola Marymount,Away,W,67-57,,NR,Q4
Dec 19,San Diego,Home,L,82-80,223,NR,Q4
Dec 28,Stanton University,Home,W,85-62,,NR,Q4
Jan 1,Cal Poly,Away,L,67-65,238,NR,Q3
Jan 3,Hawaii,Home,W,83-73,98,NR,Q3
Jan 8,Cal State Fullerton,Home,L,88-71,,NR,Q4
Jan 10,UC Riverside,Away,W,69-66,291,NR,Q4
Jan 15,Cal State Northridge,Home,L,84-79,,NR,Q4
Jan 17,Cal State Bakersfield,Away,W,83-62,,NR,Q4
Jan 22,UC Davis,Away,W,80-74,166,NR,Q3
Jan 24,UC Irvine,Home,L,61-59,120,NR,Q3
Jan 29,UC Santa Barbara,Home,L,62-48,133,NR,Q3
Jan 31,Cal State Northridge,Away,L,81-64,,NR,Q4
Feb 5,Long Beach State,Home,W,77-74,,NR,Q4
Feb 8,Hawaii,Away,L,72-67,98,NR,Q2
Feb 12,UC Davis,Home,W,68-51,166,NR,Q4
Feb 14,UC Riverside,Home,W,72-66,291,NR,Q4
Feb 21,UC Irvine,Away,TBD,,120,NR,Q2
Feb 26,Cal State Bakersfield,Home,TBD,,,NR,Q4
Feb 28,Cal Poly,Home,TBD,,238,NR,Q4
Mar 5,Cal State Fullerton,Away,TBD,,,NR,Q4
Mar 7,UC Santa Barbara,Away,TBD,,133,NR,Q2
