date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Detroit Mercy,Home,W,91-71,250,NR,Q4
Nov 7,Oregon State,Away,L,76-73,184,NR,Q3
Nov 11,St. Francis (IL),Home,W,98-55,,NR,Q4
Nov 15,Chicago State,Away,W,67-63,,NR,Q4
Nov 20,High Point,Neutral,L,90-80,75,NR,Q2
Nov 22,Southern Indiana,Neutral,W,84-73,,NR,Q4
Nov 26,Robert Morris,Away,L,88-74,161,NR,Q3
Dec 3,Arkansas-Pine Bluff,Home,L,63-62,,NR,Q4
Dec 7,Yale,Away,L,80-66,65,NR,Q1
Dec 13,Belmont,Away,L,87-84,55,NR,Q1
Dec 17,Northern Iowa,Home,L,60-54,,NR,Q4
Dec 21,Charlotte,Away,L,88-76,189,NR,Q3
Dec 29,Illinois Tech,Home,W,102-64,,NR,Q4
Jan 1,Murray State,Home,L,81-77,,NR,Q4
Jan 4,Valparaiso,Away,L,66-59,163,NR,Q3
Jan 7,Southern Illinois,Home,W,70-57,126,NR,Q3
Jan 10,Illinois State,Away,W,63-59,,NR,Q4
Jan 13,Northern Iowa,Away,W,69-61,,NR,Q4
Jan 17,Drake,Home,W,74-67,200,NR,Q4
Jan 20,Evansville,Home,W,76-49,292,NR,Q4
Jan 24,Bradley,Away,W,85-70,113,NR,Q2
Jan 27,Indiana State,Home,W,76-74,218,NR,Q4
Jan 31,Southern Illinois,Away,W,68-66,126,NR,Q2
Feb 3,Murray State,Away,L,81-74,,NR,Q4
Feb 6,Belmont,Home,L,68-62,55,NR,Q2
Feb 12,Drake,Away,W,80-70,200,NR,Q3
Feb 15,Illinois State,Home,W,83-56,,NR,Q4
Feb 18,Evansville,Away,TBD,,292,NR,Q4
Feb 21,Valparaiso,Home,TBD,,163,NR,Q4
Feb 24,Bradley,Home,TBD,,113,NR,Q3
Mar 1,Indiana State,Away,TBD,,218,NR,Q3
