date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Colorado State,Away,L,98-64,95,NR,Q2
Nov 7,Jarvis Christian,Home,W,104-60,,NR,Q4
Nov 11,Southwestern Christian,Home,W,109-70,,NR,Q4
Nov 16,Indiana,Away,L,69-61,34,NR,Q1
Nov 20,Southern Indiana,Neutral,W,87-81,,NR,Q4
Nov 22,High Point,Neutral,L,91-80,75,NR,Q2
Nov 26,Texas Lutheran,Home,W,117-55,,NR,Q4
Dec 1,McNeese State,Home,W,71-67,56,NR,Q2
Dec 6,Nicholls State,Away,L,74-67,,NR,Q4
Dec 8,New Orleans,Away,L,84-83,222,NR,Q3
Dec 15,TCU,Away,L,69-65,45,NR,Q1
Dec 21,Northern Arizona,Home,W,90-66,302,NR,Q4
Dec 30,Southeastern Louisiana,Home,W,79-70,,NR,Q4
Jan 3,Houston Christian,Home,W,73-56,298,NR,Q4
Jan 5,Texas-Rio Grande Valley,Away,L,80-67,140,NR,Q3
Jan 10,Lamar,Away,L,63-51,211,NR,Q3
Jan 12,Stephen F. Austin,Away,L,56-46,,NR,Q4
Jan 17,Northwestern State,Home,W,76-74,,NR,Q4
Jan 19,East Texas A&M,Home,L,80-58,296,NR,Q4
Jan 24,Texas A&M-Corpus Christi,Home,L,79-71,196,NR,Q4
Jan 27,Houston Christian,Away,L,81-75,298,NR,Q4
Jan 31,Texas-Rio Grande Valley,Home,L,106-93,140,NR,Q3
Feb 2,Texas A&M-Corpus Christi,Away,W,71-69,196,NR,Q3
Feb 7,McNeese State,Away,L,81-64,56,NR,Q1
Feb 9,Southeastern Louisiana,Away,L,74-62,,NR,Q4
Feb 14,Nicholls State,Home,L,91-83,,NR,Q4
Feb 16,New Orleans,Home,TBD,,222,NR,Q4
Feb 21,East Texas A&M,Away,TBD,,296,NR,Q4
Feb 23,Northwestern State,Away,TBD,,,NR,Q4
Feb 28,Lamar,Home,TBD,,211,NR,Q4
Mar 2,Stephen F. Austin,Home,TBD,,,NR,Q4
