date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Northern Illinois,Away,L,102-82,,NR,Q4
Nov 7,Mississippi,Away,L,86-65,92,NR,Q2
Nov 10,Rust,Home,W,88-55,,NR,Q4
Nov 13,Houston Christian,Away,L,72-61,298,NR,Q4
Nov 17,Lamar,Home,L,79-66,211,NR,Q4
Nov 22,Morehead State,Neutral,L,83-80,,NR,Q4
Nov 23,East Tennessee State,Away,L,97-55,129,NR,Q2
Dec 3,Mississippi Valley State,Home,W,66-52,,NR,Q4
Dec 7,Stephen F. Austin,Away,L,96-76,,NR,Q4
Dec 9,Arkansas Baptist,Home,W,79-69,,NR,Q4
Dec 13,Miami (FL),Away,L,104-79,35,NR,Q1
Dec 17,South Alabama,Home,L,96-92,168,NR,Q4
Dec 20,Louisiana,Home,L,76-62,312,NR,Q4
Dec 28,Kansas State,Away,L,94-85,100,NR,Q2
Jan 1,Southern Mississippi,Home,L,87-73,,NR,Q4
Jan 3,Texas State,Home,L,84-79,,NR,Q4
Jan 8,Louisiana,Away,L,85-79,312,NR,Q4
Jan 10,Southern Mississippi,Away,L,70-60,,NR,Q4
Jan 17,Georgia State,Home,L,77-57,,NR,Q4
Jan 22,Marshall,Away,L,115-60,149,NR,Q3
Jan 23,Appalachian State,Away,L,59-43,,NR,Q4
Jan 30,Georgia Southern,Home,L,79-76,,NR,Q4
Feb 1,Coastal Carolina,Home,L,83-79,221,NR,Q4
Feb 4,Old Dominion,Away,W,85-79,256,NR,Q4
Feb 7,Ball State,Home,L,73-68,,NR,Q4
Feb 11,Arkansas State,Away,L,103-70,,NR,Q4
Feb 14,Texas State,Away,L,95-84,,NR,Q4
Feb 18,Troy,Home,TBD,,132,NR,Q3
Feb 21,Arkansas State,Home,TBD,,,NR,Q4
Feb 25,South Alabama,Away,TBD,,168,NR,Q3
Feb 27,Troy,Away,TBD,,132,NR,Q2
