date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Georgia Tech,Away,L,56-52,165,NR,Q3
Nov 5,Georgia,Away,L,94-29,39,NR,Q1
Nov 8,Cheyney,Home,W,104-59,,NR,Q4
Nov 11,Nebraska,Away,L,69-50,11,NR,Q1
Nov 14,Creighton,Away,L,84-45,81,NR,Q2
Nov 18,Longwood,Away,W,83-82,272,NR,Q4
Nov 21,Canisius,Away,L,60-57,348,NR,Q4
Nov 22,Binghamton,Neutral,W,63-52,362,NR,Q4
Nov 25,Hampton,Home,L,74-68,258,NR,Q4
Nov 29,Gwynedd-Mercy,Home,W,84-60,,NR,Q4
Dec 2,East Carolina,Away,L,68-56,269,NR,Q4
Dec 6,American,Away,L,78-60,261,NR,Q4
Dec 9,Virginia,Away,L,84-60,19,NR,Q1
Dec 12,North Carolina A&T,Away,L,82-79,,NR,Q4
Dec 14,Virginia Tech,Away,L,82-53,58,NR,Q1
Dec 17,Wagner,Away,L,78-64,315,NR,Q4
Dec 22,Texas,Away,L,94-71,37,NR,Q1
Jan 3,Morgan State,Home,W,66-49,,NR,Q4
Jan 10,Howard,Home,W,69-57,230,NR,Q4
Jan 12,Norfolk State,Away,W,74-70,309,NR,Q4
Jan 17,Coppin State,Home,W,70-67,,NR,Q4
Jan 31,Delaware State,Away,L,65-57,,NR,Q4
Feb 2,North Carolina Central,Away,L,65-63,340,NR,Q4
Feb 4,South Carolina State,Away,L,63-54,358,NR,Q4
Feb 7,Morgan State,Away,L,79-71,,NR,Q4
Feb 14,Howard,Away,L,79-53,230,NR,Q3
Feb 16,Norfolk State,Home,TBD,,309,NR,Q4
Feb 21,Coppin State,Away,TBD,,,NR,Q4
Feb 28,South Carolina State,Home,TBD,,358,NR,Q4
Mar 2,North Carolina Central,Home,TBD,,340,NR,Q4
Mar 5,Delaware State,Home,TBD,,,NR,Q4
