date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Mount Olive,Home,W,106-77,,NR,Q4
Nov 10,Kent State,Away,L,86-77,144,NR,Q3
Nov 15,South Carolina Upstate,Home,W,73-60,293,NR,Q4
Nov 18,East Carolina,Home,W,85-60,269,NR,Q4
Nov 21,Radford,Away,W,81-73,239,NR,Q3
Nov 26,Southeastern Louisiana,Home,W,70-57,,NR,Q4
Nov 28,Navy,Home,W,87-57,150,NR,Q3
Nov 29,Gardner-Webb,Home,W,88-62,363,NR,Q4
Dec 3,Marshall,Home,W,70-69,149,NR,Q3
Dec 6,Louisiana,Away,W,70-63,312,NR,Q4
Dec 13,Valparaiso,Away,W,73-70,163,NR,Q3
Dec 20,Howard,Home,L,67-66,230,NR,Q4
Dec 27,Columbia College,Home,W,100-56,180,NR,Q4
Dec 29,North Carolina A&T,Away,W,87-78,,NR,Q4
Dec 31,Drexel,Home,W,65-53,217,NR,Q4
Jan 3,Hampton,Home,W,49-45,258,NR,Q4
Jan 8,Northeastern,Away,W,87-78,273,NR,Q4
Jan 10,Stony Brook,Away,W,75-71,212,NR,Q3
Jan 17,Campbell,Home,W,78-75,207,NR,Q4
Jan 22,William & Mary,Away,L,77-70,114,NR,Q2
Jan 24,Hampton,Away,W,75-67,258,NR,Q4
Jan 29,Towson,Away,W,82-73,176,NR,Q3
Feb 5,William & Mary,Home,L,85-78,114,NR,Q3
Feb 9,College of Charleston,Away,W,76-64,,NR,Q4
Feb 12,Elon,Home,W,65-54,192,NR,Q4
Feb 14,Hofstra,Home,W,70-66,102,NR,Q3
Feb 19,Monmouth,Home,TBD,,193,NR,Q4
Feb 21,Campbell,Away,TBD,,207,NR,Q3
Feb 26,North Carolina A&T,Home,TBD,,,NR,Q4
Feb 28,College of Charleston,Home,TBD,,,NR,Q4
Mar 3,Elon,Away,TBD,,192,NR,Q3
