date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 6,Cal State Northridge,Home,W,86-57,,NR,Q4
Nov 9,South Dakota State,Home,W,65-58,204,NR,Q4
Nov 14,Furman,Home,W,70-54,194,NR,Q4
Nov 18,Northern Illinois,Home,W,70-57,,NR,Q4
Nov 22,UC Irvine,Away,W,70-69,120,NR,Q2
Nov 25,Loyola (IL),Neutral,W,72-51,,NR,Q4
Nov 26,Tulsa,Neutral,L,63-60,53,NR,Q2
Dec 1,Coe,Home,W,99-34,,NR,Q4
Dec 6,Wichita State,Home,L,74-69,,NR,Q4
Dec 13,Oakland,Home,W,75-63,154,NR,Q3
Dec 17,Illinois-Chicago,Away,W,60-54,,NR,Q4
Dec 22,Saint Mary's (CA),Away,L,63-58,26,NR,Q1
Dec 29,Valparaiso,Home,W,58-48,163,NR,Q4
Jan 1,Indiana State,Home,W,75-66,218,NR,Q4
Jan 4,Evansville,Away,W,62-48,292,NR,Q4
Jan 7,Belmont,Home,L,78-65,55,NR,Q2
Jan 10,Bradley,Away,L,75-69,113,NR,Q2
Jan 13,Illinois-Chicago,Home,L,69-61,,NR,Q4
Jan 17,Valparaiso,Away,L,54-44,163,NR,Q3
Jan 21,Illinois State,Away,L,59-54,,NR,Q4
Jan 24,Murray State,Home,W,81-76,,NR,Q4
Jan 28,Southern Illinois,Away,L,65-50,126,NR,Q2
Jan 31,Evansville,Home,W,71-55,292,NR,Q4
Feb 6,Bradley,Home,W,61-49,113,NR,Q3
Feb 9,Murray State,Away,W,89-60,,NR,Q4
Feb 12,Belmont,Away,L,91-86,55,NR,Q1
Feb 15,Drake,Home,W,86-62,200,NR,Q4
Feb 18,Indiana State,Away,TBD,,218,NR,Q3
Feb 21,Southern Illinois,Home,TBD,,126,NR,Q3
Feb 25,Illinois State,Home,TBD,,,NR,Q4
Mar 1,Drake,Away,TBD,,200,NR,Q3
