date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,South Dakota,Away,W,81-79,276,NR,Q4
Nov 5,Bethesda University (CA),Home,W,110-65,,NR,Q4
Nov 7,Arizona,Away,L,93-67,3,NR,Q1
Nov 9,Arizona State,Away,L,81-66,71,NR,Q1
Nov 12,Manhattan,Neutral,L,79-75,321,NR,Q4
Nov 14,Mississippi Valley State,Neutral,W,81-75,,NR,Q4
Nov 16,Hawaii,Away,L,68-62,98,NR,Q2
Nov 21,Nobel,Home,W,96-48,,NR,Q4
Nov 25,Portland State,Home,L,68-63,,NR,Q4
Nov 29,UC Riverside,Home,W,77-69,291,NR,Q4
Dec 3,Santa Clara,Away,L,90-80,42,NR,Q1
Dec 13,Justice College,Home,W,89-48,,NR,Q4
Dec 20,Weber State,Away,W,82-80,,NR,Q4
Dec 22,Creighton,Away,L,92-69,81,NR,Q2
Dec 29,Southern Utah,Home,W,80-66,282,NR,Q4
Jan 1,Abilene Christian,Away,W,79-64,231,NR,Q3
Jan 8,California Baptist,Away,L,84-72,109,NR,Q2
Jan 10,Utah Valley,Away,L,92-76,88,NR,Q2
Jan 15,UT Arlington,Home,L,56-52,158,NR,Q3
Jan 17,Tarleton State,Home,W,75-71,,NR,Q4
Jan 21,California Baptist,Away,L,73-64,109,NR,Q2
Jan 24,Southern Utah,Home,W,102-91,282,NR,Q4
Jan 29,Abilene Christian,Away,W,76-70,231,NR,Q3
Jan 31,Tarleton State,Away,W,65-59,,NR,Q4
Feb 5,UT Arlington,Home,W,87-84,158,NR,Q3
Feb 12,Utah Valley,Home,W,81-77,88,NR,Q3
Feb 14,California Baptist,Home,W,70-65,109,NR,Q3
Feb 19,UT Arlington,Away,TBD,,158,NR,Q3
Feb 21,Tarleton State,Away,TBD,,,NR,Q4
Feb 26,Abilene Christian,Home,TBD,,231,NR,Q4
Feb 28,Southern Utah,Away,TBD,,282,NR,Q4
Mar 7,Utah Valley,Home,TBD,,88,NR,Q3
