date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Baylor,Away,L,96-81,47,NR,Q1
Nov 8,Southern Utah,Away,W,95-72,282,NR,Q4
Nov 11,Boise State,Away,L,85-65,60,NR,Q1
Nov 17,Southwestern Adventist,Home,W,110-53,,NR,Q4
Nov 22,Missouri State,Away,L,74-67,,NR,Q4
Nov 24,Illinois,Away,L,87-73,5,NR,Q1
Dec 3,Stephen F. Austin,Away,L,73-60,,NR,Q4
Dec 7,Austin Peay,Home,W,63-50,134,NR,Q3
Dec 11,UT Arlington,Home,L,58-50,158,NR,Q3
Dec 16,Lamar,Away,W,83-72,211,NR,Q3
Dec 20,College of Biblical Studies,Home,W,109-51,,NR,Q4
Dec 29,New Orleans,Home,L,85-69,222,NR,Q4
Dec 31,Nicholls State,Home,L,71-69,,NR,Q4
Jan 3,Texas A&M-Corpus Christi,Home,L,63-59,196,NR,Q4
Jan 5,Incarnate Word,Home,W,80-67,,NR,Q4
Jan 10,East Texas A&M,Away,L,77-69,296,NR,Q4
Jan 12,Northwestern State,Away,L,64-63,,NR,Q4
Jan 17,McNeese State,Home,W,79-76,56,NR,Q2
Jan 19,Southeastern Louisiana,Home,W,68-65,,NR,Q4
Jan 24,Houston Christian,Away,W,68-51,298,NR,Q4
Jan 26,Texas A&M-Corpus Christi,Away,W,64-55,196,NR,Q3
Jan 31,Incarnate Word,Away,W,106-93,,NR,Q4
Feb 2,Houston Christian,Home,W,74-57,298,NR,Q4
Feb 7,New Orleans,Away,W,95-76,222,NR,Q3
Feb 9,Nicholls State,Away,W,92-72,,NR,Q4
Feb 14,Stephen F. Austin,Home,L,66-57,,NR,Q4
Feb 16,Lamar,Home,TBD,,211,NR,Q4
Feb 21,Southeastern Louisiana,Away,TBD,,,NR,Q4
Feb 23,McNeese State,Away,TBD,,56,NR,Q1
Feb 28,East Texas A&M,Home,TBD,,296,NR,Q4
Mar 2,Northwestern State,Home,TBD,,,NR,Q4
