date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,College of Biblical Studies,Home,W,97-30,,NR,Q4
Nov 7,Southern Illinois-Edwardsville,Home,L,77-60,,NR,Q4
Nov 12,Texas State,Away,L,80-69,,NR,Q4
Nov 15,Denver,Away,W,84-79,233,NR,Q3
Nov 18,Southwestern Christian,Home,W,103-70,,NR,Q4
Nov 24,Abilene Christian,Neutral,L,61-50,231,NR,Q4
Nov 25,Georgia Southern,Neutral,W,77-64,,NR,Q4
Nov 30,South Alabama,Home,L,82-58,168,NR,Q4
Dec 7,Alabama,Away,L,97-55,21,NR,Q1
Dec 13,Colorado,Away,L,88-64,73,NR,Q1
Dec 17,Southern California,Away,L,97-70,48,NR,Q1
Dec 22,Seattle,Home,L,71-68,,NR,Q4
Dec 31,Florida Atlantic,Away,L,110-70,,NR,Q4
Jan 3,Temple,Away,L,76-57,162,NR,Q3
Jan 7,Charlotte,Home,L,74-58,189,NR,Q4
Jan 10,Tulane,Home,L,85-52,190,NR,Q4
Jan 14,Rice,Home,L,89-73,248,NR,Q4
Jan 18,Memphis,Away,L,95-69,105,NR,Q2
Jan 21,North Texas,Away,L,81-62,148,NR,Q3
Jan 24,Temple,Home,L,70-64,162,NR,Q4
Jan 28,UAB,Home,L,83-73,119,NR,Q3
Feb 4,South Florida,Away,L,109-88,,NR,Q4
Feb 7,North Texas,Home,L,81-58,148,NR,Q3
Feb 11,East Carolina,Away,L,88-72,269,NR,Q4
Feb 15,Charlotte,Away,W,88-79,189,NR,Q3
Feb 18,Florida Atlantic,Home,TBD,,,NR,Q4
Feb 22,Tulsa,Away,TBD,,53,NR,Q1
Feb 25,East Carolina,Home,TBD,,269,NR,Q4
Mar 1,Wichita State,Home,TBD,,,NR,Q4
Mar 8,Rice,Away,TBD,,248,NR,Q4
