date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Wagner,Home,W,103-74,315,NR,Q4
Nov 7,Utah State,Neutral,L,80-77,23,NR,Q1
Nov 12,Saint Peter's,Home,W,78-61,226,NR,Q4
Nov 17,NC State,Away,L,85-79,29,NR,Q1
Nov 22,Coppin State,Home,W,101-58,,NR,Q4
Nov 26,South Florida,Neutral,W,78-66,,NR,Q4
Nov 27,Vanderbilt,Neutral,L,89-74,13,NR,Q1
Nov 28,Virginia Tech,Neutral,W,86-68,58,NR,Q2
Dec 5,Samford,Home,W,83-57,210,NR,Q4
Dec 10,New Mexico,Home,L,81-78,44,NR,Q2
Dec 15,Niagara,Home,W,84-58,342,NR,Q4
Dec 18,American,Home,W,105-83,261,NR,Q4
Dec 22,Rider,Home,W,100-79,357,NR,Q4
Dec 31,St. Bonaventure,Home,W,89-82,145,NR,Q3
Jan 3,Duquesne,Away,W,93-80,117,NR,Q2
Jan 7,Saint Louis,Home,L,71-62,17,NR,Q1
Jan 10,George Mason,Away,L,86-80,91,NR,Q2
Jan 14,Rhode Island,Away,W,84-75,136,NR,Q3
Jan 19,Saint Joseph's,Home,W,79-72,157,NR,Q3
Jan 24,Davidson,Away,W,75-69,104,NR,Q2
Jan 27,Richmond,Home,W,77-69,142,NR,Q3
Jan 30,Loyola (IL),Home,W,89-75,,NR,Q4
Feb 3,Fordham,Away,W,63-59,178,NR,Q3
Feb 6,Dayton,Home,W,99-73,89,NR,Q3
Feb 11,La Salle,Away,W,77-68,241,NR,Q4
Feb 14,Richmond,Away,W,78-67,142,NR,Q3
Feb 17,George Washington,Home,TBD,,84,NR,Q3
Feb 20,Saint Louis,Away,TBD,,17,NR,Q1
Feb 28,Fordham,Home,TBD,,178,NR,Q4
Mar 3,George Mason,Home,TBD,,91,NR,Q3
Mar 6,Dayton,Away,TBD,,89,NR,Q2
