date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Western New England,Home,W,75-68,,NR,Q4
Nov 5,SUNY Plattsburgh,Home,W,113-62,,NR,Q4
Nov 9,Brown,Away,W,89-84,285,NR,Q4
Nov 15,Northeastern,Away,W,85-74,273,NR,Q4
Nov 18,Buffalo,Away,L,94-90,177,NR,Q3
Nov 24,Liberty,Neutral,L,79-73,74,NR,Q2
Nov 25,Rhode Island,Neutral,L,80-65,136,NR,Q3
Nov 26,Princeton,Neutral,W,79-74,254,NR,Q4
Nov 30,Yale,Home,L,77-74,65,NR,Q2
Dec 3,Oregon State,Away,L,80-58,184,NR,Q3
Dec 6,Pepperdine,Away,W,65-56,284,NR,Q4
Dec 14,Merrimack,Home,W,66-59,185,NR,Q4
Dec 17,Siena,Home,W,83-69,188,NR,Q4
Dec 20,Iona,Home,L,83-78,237,NR,Q4
Dec 30,Princeton,Away,L,75-69,254,NR,Q4
Jan 3,New Hampshire,Away,W,80-61,334,NR,Q4
Jan 8,Binghamton,Home,W,60-59,362,NR,Q4
Jan 15,Maine,Home,W,67-62,343,NR,Q4
Jan 19,Albany (NY),Away,L,75-68,,NR,Q4
Jan 22,Massachusetts-Lowell,Away,W,77-68,323,NR,Q4
Jan 24,Bryant,Away,W,62-52,352,NR,Q4
Jan 29,Maryland-Baltimore County,Home,W,64-55,,NR,Q4
Jan 31,NJIT,Home,L,79-77,301,NR,Q4
Feb 5,Maine,Away,L,76-70,343,NR,Q4
Feb 7,New Hampshire,Home,W,80-57,334,NR,Q4
Feb 12,Binghamton,Away,W,73-65,362,NR,Q4
Feb 14,Bryant,Home,W,90-63,352,NR,Q4
Feb 19,Maryland-Baltimore County,Away,TBD,,,NR,Q4
Feb 21,NJIT,Away,TBD,,301,NR,Q4
Feb 26,Massachusetts-Lowell,Home,TBD,,323,NR,Q4
Mar 3,Albany (NY),Home,TBD,,,NR,Q4
