date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Brigham Young,Neutral,L,71-66,20,NR,Q1
Nov 8,Queens (NC),Home,W,94-74,206,NR,Q4
Nov 11,Sacred Heart,Home,W,94-60,294,NR,Q4
Nov 15,Duquesne,Home,W,87-77,116,NR,Q3
Nov 19,La Salle,Away,W,70-55,242,NR,Q4
Nov 25,Old Dominion,Home,W,89-75,253,NR,Q4
Dec 1,Temple,Home,W,74-56,155,NR,Q3
Dec 6,Pennsylvania,Neutral,W,90-63,,NR,Q4
Dec 9,Michigan,Away,L,89-61,1,NR,Q1
Dec 13,Pittsburgh,Home,W,79-61,122,NR,Q3
Dec 19,Wisconsin,Neutral,W,76-66,33,NR,Q1
Dec 23,Seton Hall,Away,W,64-56,51,NR,Q1
Dec 31,DePaul,Home,W,71-66,108,NR,Q3
Jan 3,Butler,Away,W,85-67,74,NR,Q1
Jan 7,Creighton,Home,L,76-72,81,NR,Q3
Jan 10,Marquette,Away,W,76-73,109,NR,Q2
Jan 13,Providence,Away,W,88-82,80,NR,Q2
Jan 17,St. John's (NY),Home,L,86-79,24,NR,Q1
Jan 21,Georgetown,Home,W,66-51,91,NR,Q3
Jan 24,Connecticut,Away,L,75-67,10,NR,Q1
Jan 30,Providence,Home,W,87-73,80,NR,Q3
Feb 4,Seton Hall,Home,W,72-60,51,NR,Q2
Feb 7,Georgetown,Away,W,80-73,91,NR,Q2
Feb 10,Marquette,Home,W,77-74,109,NR,Q3
Feb 14,Creighton,Away,W,80-69,81,NR,Q2
Feb 17,Xavier,Away,TBD,,98,NR,Q2
Feb 21,Connecticut,Home,TBD,,10,NR,Q1
Feb 25,Butler,Home,TBD,,74,NR,Q2
Feb 28,St. John's (NY),Away,TBD,,24,NR,Q1
Mar 4,DePaul,Away,TBD,,108,NR,Q2
Mar 7,Xavier,Home,TBD,,98,NR,Q3
