date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Charleston Southern,Home,W,98-67,,NR,Q4
Nov 8,Providence,Neutral,W,107-101,80,NR,Q2
Nov 12,Saint Joseph's,Home,W,94-59,156,NR,Q3
Nov 16,Charlotte,Home,W,84-76,164,NR,Q4
Nov 19,Bryant,Home,W,78-61,352,NR,Q4
Nov 26,Colorado State,Neutral,W,66-64,95,NR,Q2
Nov 27,Saint Mary's (CA),Neutral,L,77-66,26,NR,Q1
Nov 28,Virginia Commonwealth,Neutral,L,86-68,,NR,Q4
Dec 2,South Carolina,Away,W,86-83,112,NR,Q2
Dec 6,George Mason,Home,W,73-62,90,NR,Q3
Dec 11,Western Carolina,Home,W,96-74,263,NR,Q4
Dec 14,Maryland-Eastern Shore,Home,W,82-53,,NR,Q4
Dec 20,Elon,Home,W,82-81,190,NR,Q4
Dec 31,Virginia,Home,W,95-85,19,NR,Q1
Jan 3,Wake Forest,Away,L,81-78,64,NR,Q1
Jan 7,Stanford,Home,L,69-68,70,NR,Q2
Jan 10,California,Home,W,78-75,60,NR,Q2
Jan 14,Southern Methodist,Away,L,77-76,36,NR,Q1
Jan 17,Notre Dame,Home,W,89-76,87,NR,Q3
Jan 21,Syracuse,Away,W,76-74,69,NR,Q1
Jan 24,Louisville,Away,L,85-71,12,NR,Q1
Jan 27,Georgia Tech,Home,W,71-65,163,NR,Q4
Jan 31,Duke,Home,L,72-58,2,NR,Q1
Feb 7,NC State,Away,L,82-73,29,NR,Q1
Feb 11,Clemson,Away,W,76-66,32,NR,Q1
Feb 14,Florida State,Home,L,92-69,82,NR,Q3
Feb 17,Miami (FL),Away,TBD,,35,NR,Q1
Feb 21,Wake Forest,Home,TBD,,64,NR,Q2
Feb 28,North Carolina,Away,TBD,,25,NR,Q1
Mar 3,Boston College,Home,TBD,,153,NR,Q3
Mar 7,Virginia,Away,TBD,,19,NR,Q1
