date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,American,Home,W,88-74,262,NR,Q4
Nov 7,Morehead State,Home,W,81-65,,NR,Q4
Nov 11,Michigan,Neutral,L,85-84,1,NR,Q1
Nov 16,Massachusetts-Lowell,Home,W,109-75,323,NR,Q4
Nov 20,Texas Tech,Neutral,L,84-83,16,NR,Q1
Nov 21,Memphis,Neutral,W,69-68,105,NR,Q3
Nov 25,Campbell,Home,W,99-51,207,NR,Q4
Nov 28,Northeastern,Home,W,86-73,273,NR,Q4
Dec 2,Oklahoma,Home,L,86-68,68,NR,Q2
Dec 6,West Virginia,Neutral,W,75-66,54,NR,Q2
Dec 14,Queens (NC),Home,W,111-73,206,NR,Q4
Dec 17,Longwood,Home,W,71-68,272,NR,Q4
Dec 21,Vanderbilt,Home,L,98-67,13,NR,Q1
Dec 31,NC State,Away,L,70-57,29,NR,Q1
Jan 3,Virginia Tech,Home,W,81-78,56,NR,Q2
Jan 7,Miami (FL),Home,L,81-77,35,NR,Q2
Jan 10,North Carolina,Away,L,87-84,25,NR,Q1
Jan 17,Florida State,Away,W,69-68,82,NR,Q2
Jan 20,Southern Methodist,Home,L,91-79,36,NR,Q2
Jan 24,Duke,Away,L,90-69,2,NR,Q1
Jan 27,Pittsburgh,Away,L,80-76,122,NR,Q2
Jan 31,NC State,Home,L,96-78,29,NR,Q1
Feb 7,Louisville,Home,L,88-80,12,NR,Q1
Feb 11,Georgia Tech,Away,W,83-67,163,NR,Q3
Feb 14,Stanford,Home,W,68-63,70,NR,Q2
Feb 18,Clemson,Home,TBD,,32,NR,Q2
Feb 21,Virginia Tech,Away,TBD,,56,NR,Q1
Feb 24,Boston College,Away,TBD,,153,NR,Q3
Feb 28,Syracuse,Home,TBD,,69,NR,Q2
Mar 3,Virginia,Away,TBD,,19,NR,Q1
Mar 7,California,Home,TBD,,60,NR,Q2
