date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,West Coast Baptist,Home,W,130-38,,NR,Q4
Nov 8,Utah,Away,L,92-89,128,NR,Q2
Nov 12,Utah State,Away,L,83-73,23,NR,Q1
Nov 15,UC Irvine,Away,L,79-70,120,NR,Q2
Nov 19,Campbell,Home,W,91-85,207,NR,Q4
Nov 22,UT Arlington,Home,L,74-73,158,NR,Q3
Nov 29,Kansas City,Home,W,82-61,355,NR,Q4
Dec 3,Oral Roberts,Home,W,92-66,335,NR,Q4
Dec 7,St. Thomas,Away,L,88-65,,NR,Q4
Dec 10,Kansas City,Away,W,64-60,355,NR,Q4
Dec 17,Utah Valley,Away,L,90-74,88,NR,Q2
Dec 20,Utah Tech,Home,L,82-80,156,NR,Q3
Dec 22,Lincoln (CA),Home,W,103-64,,NR,Q4
Jan 1,Portland State,Home,L,95-90,,NR,Q4
Jan 3,Sacramento State,Home,W,95-82,,NR,Q4
Jan 8,Northern Arizona,Away,W,78-65,302,NR,Q4
Jan 10,Northern Colorado,Away,W,76-71,,NR,Q4
Jan 15,Eastern Washington,Home,W,91-80,,NR,Q4
Jan 17,Idaho,Home,L,75-67,167,NR,Q4
Jan 22,Montana,Away,L,81-65,182,NR,Q3
Jan 24,Montana State,Away,L,91-88,,NR,Q4
Jan 31,Idaho State,Home,W,81-79,,NR,Q4
Feb 2,Sacramento State,Away,L,104-90,,NR,Q4
Feb 5,Northern Colorado,Home,L,88-74,,NR,Q4
Feb 7,Northern Arizona,Home,W,72-53,302,NR,Q4
Feb 12,Idaho,Away,W,83-72,167,NR,Q3
Feb 14,Eastern Washington,Away,L,84-66,,NR,Q4
Feb 19,Montana State,Home,TBD,,,NR,Q4
Feb 21,Montana,Home,TBD,,182,NR,Q4
Feb 28,Idaho State,Away,TBD,,,NR,Q4
Mar 2,Portland State,Away,TBD,,,NR,Q4
