date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Mount St. Mary's,Home,W,70-54,299,NR,Q4
Nov 6,Campbell,Home,W,73-65,207,NR,Q4
Nov 9,Lehigh,Home,W,69-47,296,NR,Q4
Nov 13,Pittsburgh,Home,W,71-49,122,NR,Q3
Nov 17,Lafayette,Home,W,81-59,326,NR,Q4
Nov 21,Clemson,Neutral,L,70-67,32,NR,Q1
Nov 23,Xavier,Neutral,L,78-68,98,NR,Q2
Nov 30,Mercyhurst,Home,W,70-38,282,NR,Q4
Dec 3,Coppin State,Home,W,91-49,,NR,Q4
Dec 6,Wake Forest,Neutral,L,75-66,64,NR,Q2
Dec 9,Little Rock,Home,W,90-58,307,NR,Q4
Dec 13,Ohio State,Neutral,L,89-88,38,NR,Q1
Dec 22,Mississippi Valley State,Home,W,86-51,,NR,Q4
Jan 2,Iowa State,Away,L,80-59,8,NR,Q1
Jan 6,Cincinnati,Home,W,62-60,63,NR,Q2
Jan 10,Kansas,Home,W,86-75,14,NR,Q1
Jan 13,Houston,Away,L,77-48,4,NR,Q1
Jan 17,Colorado,Home,W,72-61,73,NR,Q2
Jan 21,Arizona State,Away,W,75-63,71,NR,Q1
Jan 24,Arizona,Away,L,88-53,3,NR,Q1
Jan 27,Kansas State,Home,W,59-54,101,NR,Q3
Jan 31,Baylor,Home,L,63-53,47,NR,Q2
Feb 5,Cincinnati,Away,W,59-54,63,NR,Q1
Feb 8,Texas Tech,Home,L,70-63,16,NR,Q1
Feb 14,UCF,Away,W,74-67,49,NR,Q1
Feb 18,Utah,Home,TBD,,126,NR,Q3
Feb 21,TCU,Away,TBD,,45,NR,Q1
Feb 24,Oklahoma State,Away,TBD,,72,NR,Q1
Feb 28,Brigham Young,Home,TBD,,20,NR,Q1
Mar 3,Kansas State,Away,TBD,,101,NR,Q2
Mar 6,UCF,Home,TBD,,49,NR,Q2
