date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Radford,Away,L,80-75,239,NR,Q3
Nov 7,Iowa,Away,L,77-58,27,NR,Q1
Nov 11,Cal State Bakersfield,Away,L,74-58,,NR,Q4
Nov 14,California Baptist,Away,L,69-59,109,NR,Q2
Nov 17,Coe,Home,W,74-63,,NR,Q4
Nov 21,Coastal Carolina,Home,L,84-64,221,NR,Q4
Nov 23,North Dakota,Home,L,78-69,274,NR,Q4
Nov 30,St. Ambrose,Home,W,89-73,,NR,Q4
Dec 2,Drake,Away,L,108-57,200,NR,Q3
Dec 6,Hannibal-LaGrange,Home,W,78-47,,NR,Q4
Dec 13,North Dakota,Away,W,69-66,274,NR,Q4
Dec 18,Lindenwood,Away,L,92-76,240,NR,Q3
Dec 22,Southern Illinois-Edwardsville,Home,L,66-61,,NR,Q4
Jan 1,Tennessee-Martin,Away,L,67-60,,NR,Q4
Jan 3,Southeast Missouri State,Away,L,73-50,,NR,Q4
Jan 8,Tennessee State,Home,L,90-68,235,NR,Q4
Jan 10,Tennessee Tech,Home,L,59-54,316,NR,Q4
Jan 13,Eastern Illinois,Away,L,57-55,317,NR,Q4
Jan 17,Little Rock,Away,L,86-79,307,NR,Q4
Jan 22,Morehead State,Away,L,71-66,,NR,Q4
Jan 23,Southern Indiana,Away,L,96-64,,NR,Q4
Jan 29,Southeast Missouri State,Home,L,78-74,,NR,Q4
Jan 31,Tennessee-Martin,Home,L,84-44,,NR,Q4
Feb 5,Tennessee Tech,Away,L,97-72,316,NR,Q4
Feb 7,Tennessee State,Away,L,83-56,235,NR,Q3
Feb 10,Eastern Illinois,Home,W,79-70,317,NR,Q4
Feb 12,Little Rock,Home,L,77-58,307,NR,Q4
Feb 19,Southern Indiana,Home,TBD,,,NR,Q4
Feb 21,Morehead State,Home,TBD,,,NR,Q4
Feb 26,Southern Illinois-Edwardsville,Away,TBD,,,NR,Q4
Feb 28,Lindenwood,Home,TBD,,240,NR,Q4
