date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Tennessee Tech,Home,W,82-70,316,NR,Q4
Nov 10,Eastern Kentucky,Away,W,87-79,281,NR,Q4
Nov 16,Tennessee State,Home,W,95-82,235,NR,Q4
Nov 18,Bethel (TN),Home,W,97-67,,NR,Q4
Nov 26,Vanderbilt,Neutral,L,83-78,13,NR,Q1
Nov 27,South Florida,Neutral,L,97-91,,NR,Q4
Nov 28,Wichita State,Neutral,W,75-70,,NR,Q4
Dec 6,Evansville,Home,W,80-79,292,NR,Q4
Dec 10,Marshall,Away,L,77-61,149,NR,Q3
Dec 15,Campbellsville,Home,W,102-59,,NR,Q4
Dec 19,Tulsa,Home,L,82-81,53,NR,Q2
Dec 29,Jacksonville State,Away,L,78-67,,NR,Q4
Jan 2,Sam Houston,Home,W,102-91,106,NR,Q3
Jan 4,Louisiana Tech,Home,W,66-61,247,NR,Q4
Jan 8,New Mexico State,Away,L,80-64,173,NR,Q3
Jan 10,UTEP,Away,W,68-56,264,NR,Q4
Jan 14,Missouri State,Home,W,87-72,,NR,Q4
Jan 17,Kennesaw State,Home,L,81-65,,NR,Q4
Jan 21,Liberty,Home,L,76-69,74,NR,Q2
Jan 24,Sam Houston,Away,L,73-58,106,NR,Q2
Jan 28,Kennesaw State,Away,L,72-69,,NR,Q4
Jan 31,Middle Tennessee,Away,W,65-60,159,NR,Q3
Feb 5,Jacksonville State,Home,L,71-66,,NR,Q4
Feb 7,Florida International,Home,W,80-70,,NR,Q4
Feb 14,Middle Tennessee,Home,W,82-80,159,NR,Q3
Feb 18,Delaware,Away,TBD,,267,NR,Q4
Feb 21,Liberty,Away,TBD,,74,NR,Q1
Feb 26,New Mexico State,Home,TBD,,173,NR,Q4
Feb 28,UTEP,Home,TBD,,264,NR,Q4
Mar 5,Missouri State,Away,TBD,,,NR,Q4
Mar 7,Florida International,Away,TBD,,,NR,Q4
