date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,UNC Asheville,Home,W,75-58,228,NR,Q4
Nov 8,Prairie View,Home,W,105-62,330,NR,Q4
Nov 13,Loyola (IL),Home,W,95-74,,NR,Q4
Nov 18,Boise State,Away,L,62-59,60,NR,Q1
Nov 22,Milwaukee,Home,W,75-58,246,NR,Q4
Nov 26,Saint Mary's (CA),Neutral,L,70-65,26,NR,Q1
Nov 27,Colorado State,Neutral,L,76-70,95,NR,Q2
Nov 28,Western Kentucky,Neutral,L,75-70,175,NR,Q3
Dec 2,Mount Marty,Home,W,95-69,,NR,Q4
Dec 6,Northern Iowa,Away,W,74-69,,NR,Q4
Dec 13,DePaul,Home,L,61-58,108,NR,Q3
Dec 17,Wofford,Home,W,84-73,229,NR,Q4
Dec 21,Eastern Kentucky,Home,W,88-57,281,NR,Q4
Dec 31,UAB,Away,W,75-70,119,NR,Q2
Jan 3,Charlotte,Away,L,104-100,189,NR,Q3
Jan 7,Rice,Home,L,66-64,248,NR,Q4
Jan 11,North Texas,Home,W,78-67,148,NR,Q3
Jan 15,Florida Atlantic,Away,L,85-67,,NR,Q4
Jan 18,South Florida,Away,W,86-85,,NR,Q4
Jan 21,East Carolina,Home,W,77-60,269,NR,Q4
Jan 24,Memphis,Home,W,74-59,105,NR,Q3
Feb 1,Tulsa,Away,L,93-83,53,NR,Q1
Feb 4,Charlotte,Home,W,74-64,189,NR,Q4
Feb 8,Tulane,Away,W,75-61,190,NR,Q3
Feb 11,South Florida,Home,L,66-58,,NR,Q4
Feb 14,Tulsa,Home,W,81-77,53,NR,Q2
Feb 18,East Carolina,Away,TBD,,269,NR,Q4
Feb 21,Temple,Home,TBD,,162,NR,Q4
Feb 26,Memphis,Away,TBD,,105,NR,Q2
Mar 1,UTSA,Away,TBD,,341,NR,Q4
Mar 7,Florida Atlantic,Home,TBD,,,NR,Q4
