date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Georgian Court,Home,W,110-63,,NR,Q4
Nov 8,Norfolk State,Away,W,81-78,309,NR,Q4
Nov 11,Richmond,Away,L,90-86,142,NR,Q3
Nov 15,St. John's (NY),Away,L,93-60,24,NR,Q1
Nov 19,Bowling Green,Away,W,82-74,141,NR,Q3
Nov 21,Regent,Home,W,104-57,,NR,Q4
Nov 24,UTEP,Neutral,W,74-63,264,NR,Q4
Nov 25,Abilene Christian,Neutral,W,92-58,231,NR,Q4
Nov 30,Old Dominion,Home,W,88-75,256,NR,Q4
Dec 2,Duquesne,Away,W,83-79,117,NR,Q2
Dec 6,George Washington,Away,L,99-86,84,NR,Q2
Dec 18,Radford,Home,W,96-83,239,NR,Q4
Dec 29,Towson,Home,W,84-70,176,NR,Q4
Dec 31,Stony Brook,Home,W,76-57,212,NR,Q4
Jan 5,College of Charleston,Away,L,88-79,,NR,Q4
Jan 8,Monmouth,Away,L,81-70,193,NR,Q3
Jan 10,Drexel,Away,L,64-58,217,NR,Q3
Jan 15,North Carolina A&T,Home,W,97-89,,NR,Q4
Jan 22,UNC Wilmington,Home,W,77-70,,NR,Q4
Jan 24,Hofstra,Home,W,89-82,102,NR,Q3
Jan 29,Elon,Away,L,79-76,192,NR,Q3
Jan 31,Campbell,Home,L,104-96,207,NR,Q4
Feb 5,UNC Wilmington,Away,W,85-78,,NR,Q4
Feb 7,Hampton,Away,L,77-74,258,NR,Q4
Feb 12,Northeastern,Away,W,94-67,273,NR,Q4
Feb 14,Elon,Home,L,81-78,192,NR,Q4
Feb 19,Campbell,Away,TBD,,207,NR,Q3
Feb 26,Northeastern,Home,TBD,,273,NR,Q4
Feb 28,North Carolina A&T,Away,TBD,,,NR,Q4
Mar 3,Hampton,Home,TBD,,258,NR,Q4
