date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Queens (NC),Neutral,W,81-74,205,NR,Q4
Nov 7,George Mason,Away,L,96-90,91,NR,Q2
Nov 11,Coastal Carolina,Away,L,72-66,221,NR,Q3
Nov 15,Mercer,Home,W,105-69,153,NR,Q3
Nov 18,Arkansas,Away,L,84-83,18,NR,Q1
Nov 23,Jackson State,Away,W,80-62,347,NR,Q4
Nov 25,Nebraska,Away,L,80-73,11,NR,Q1
Nov 29,South Carolina State,Home,W,101-79,358,NR,Q4
Dec 2,Long Island University,Away,W,94-92,195,NR,Q3
Dec 6,Coastal Carolina,Home,L,88-84,221,NR,Q4
Dec 9,Toccoa Falls,Home,W,111-62,,NR,Q4
Dec 13,Bob Jones University,Home,W,101-55,,NR,Q4
Dec 18,North Dakota,Away,L,90-88,274,NR,Q4
Dec 21,Clinton College,Home,W,107-41,,NR,Q4
Dec 28,Texas Tech,Away,L,87-57,16,NR,Q1
Dec 31,Longwood,Away,L,82-70,272,NR,Q4
Jan 3,Gardner-Webb,Home,W,88-77,363,NR,Q4
Jan 7,Charleston Southern,Home,W,81-77,,NR,Q4
Jan 10,South Carolina Upstate,Away,W,71-50,293,NR,Q4
Jan 14,High Point,Home,W,92-75,75,NR,Q2
Jan 17,UNC Asheville,Away,W,69-67,228,NR,Q3
Jan 21,Radford,Home,W,76-75,239,NR,Q4
Jan 24,Presbyterian,Away,W,82-72,271,NR,Q4
Jan 31,UNC Asheville,Home,W,84-71,228,NR,Q4
Feb 4,Radford,Away,W,80-78,239,NR,Q3
Feb 7,Longwood,Home,W,79-74,272,NR,Q4
Feb 12,Gardner-Webb,Away,W,103-85,363,NR,Q4
Feb 19,South Carolina Upstate,Home,TBD,,293,NR,Q4
Feb 21,High Point,Away,TBD,,75,NR,Q1
Feb 26,Charleston Southern,Away,TBD,,,NR,Q4
Feb 28,Presbyterian,Home,TBD,,271,NR,Q4
