date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Franklin,Home,W,86-37,,NR,Q4
Nov 6,California,Away,L,77-67,61,NR,Q1
Nov 11,Toledo,Home,L,81-71,172,NR,Q4
Nov 15,Radford,Neutral,W,92-59,239,NR,Q4
Nov 16,Kent State,Neutral,L,76-72,144,NR,Q3
Nov 20,Ohio Wesleyan,Home,W,100-47,,NR,Q4
Nov 25,Stetson,Away,W,79-62,325,NR,Q4
Nov 28,Butler,Away,L,94-69,80,NR,Q2
Dec 3,Youngstown State,Away,L,69-68,,NR,Q4
Dec 7,Green Bay,Home,W,86-58,224,NR,Q4
Dec 13,Marshall,Away,L,76-74,149,NR,Q3
Dec 16,Miami (OH),Home,L,83-76,51,NR,Q2
Dec 22,Eastern Michigan,Home,W,70-64,,NR,Q4
Dec 29,Oakland,Home,W,88-73,154,NR,Q3
Jan 1,Milwaukee,Home,W,76-70,246,NR,Q4
Jan 4,IU Indy,Away,W,81-77,313,NR,Q4
Jan 9,Detroit Mercy,Away,W,84-82,250,NR,Q4
Jan 11,Oakland,Away,W,94-84,154,NR,Q3
Jan 15,Youngstown State,Home,W,93-83,,NR,Q4
Jan 21,Cleveland State,Home,L,85-79,,NR,Q4
Jan 24,Northern Kentucky,Home,W,88-80,199,NR,Q4
Jan 30,Milwaukee,Away,W,76-69,246,NR,Q4
Feb 1,Green Bay,Away,W,83-75,224,NR,Q3
Feb 4,Robert Morris,Away,L,72-66,161,NR,Q3
Feb 7,Purdue Fort Wayne,Home,W,73-68,253,NR,Q4
Feb 12,Detroit Mercy,Home,L,77-74,250,NR,Q4
Feb 15,Cleveland State,Away,W,102-90,,NR,Q4
Feb 19,IU Indy,Home,TBD,,313,NR,Q4
Feb 22,Robert Morris,Home,TBD,,161,NR,Q4
Feb 25,Purdue Fort Wayne,Away,TBD,,253,NR,Q4
Feb 28,Northern Kentucky,Away,TBD,,199,NR,Q3
