date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Marist,Home,W,66-62,170,NR,Q4
Nov 6,Le Moyne,Home,W,74-69,280,NR,Q4
Nov 10,Santa Clara,Home,L,87-68,42,NR,Q2
Nov 14,Iowa,Away,L,81-62,27,NR,Q1
Nov 18,Old Dominion,Home,W,99-69,256,NR,Q4
Nov 21,Georgia,Neutral,L,78-77,39,NR,Q1
Nov 23,West Virginia,Neutral,W,78-68,54,NR,Q2
Nov 28,Texas A&M-Corpus Christi,Home,W,88-67,196,NR,Q4
Dec 1,Saint Francis (PA),Home,W,96-74,,NR,Q4
Dec 5,Cincinnati,Home,W,79-74,63,NR,Q2
Dec 12,Missouri State,Home,W,75-57,,NR,Q4
Dec 17,Creighton,Home,L,98-57,81,NR,Q3
Dec 20,Georgetown,Away,W,80-77,90,NR,Q2
Dec 31,Connecticut,Home,L,90-67,10,NR,Q1
Jan 3,DePaul,Away,L,86-77,108,NR,Q2
Jan 7,Marquette,Away,L,66-65,111,NR,Q2
Jan 10,Providence,Home,W,97-84,79,NR,Q3
Jan 14,Butler,Home,W,89-75,80,NR,Q3
Jan 21,Creighton,Away,L,94-93,81,NR,Q2
Jan 24,St. John's (NY),Home,L,88-83,24,NR,Q1
Jan 28,Seton Hall,Away,L,86-68,49,NR,Q1
Jan 31,DePaul,Home,W,68-66,108,NR,Q3
Feb 3,Connecticut,Away,L,92-60,10,NR,Q1
Feb 9,St. John's (NY),Away,L,87-82,24,NR,Q1
Feb 14,Marquette,Home,W,96-88,111,NR,Q3
Feb 17,Villanova,Home,TBD,,30,NR,Q1
Feb 21,Butler,Away,TBD,,80,NR,Q2
Feb 24,Providence,Away,TBD,,79,NR,Q2
Feb 28,Georgetown,Home,TBD,,90,NR,Q3
Mar 3,Seton Hall,Home,TBD,,49,NR,Q2
Mar 7,Villanova,Away,TBD,,30,NR,Q1
